term,plain_explanation,detail,source
NISA口座,投資利益が非課税になる本人名義の口座,18歳以上の居住者が対象。つみたて投資枠120万円と成長投資枠240万円を併用できる,金融庁・国税庁
仮名・借名取引,本人以外が実質的に他人名義口座を使うように見える取引,証券口座は本人名義・本人資金・本人意思が基本,GMOクリック証券等
代理人登録,証券会社所定の書類で代理人に一定権限を与える制度,照会のみか注文・売却・決済まで可能かが重要,三菱UFJ eスマート証券
家族サポート証券口座,将来の認知判断能力低下に備え家族代理人が取引等できる仕組み,任意代理契約が前提。再来週に間に合うかは確認が必要,日本証券業協会
IFA・投資助言業者,登録を受けて投資判断に関する助言を行う業者,継続サービス化する場合の正式連携先,金融庁・関東財務局
NISAファンドラップ,NISA口座で使えるラップ型運用の選択肢,個別株戦略とは違うが本人発注負担を下げる代替案,三井住友信託銀行
正式代理,証券会社がNISA口座で代理注文を認めるルート,再来週に間に合えば最も実務負担を下げやすい,証券会社確認
本人発注,本人が自分のスマホで発注するルート,注文票を作り本人が確認して発注する,実務運用
中期移行,初回は本人発注し後から代理制度やIFAへ移るルート,再来週購入と正式化を分けて進める,実務運用
購入延期,本人操作も正式代理も整っていないため買わないルート,口座体制が整うまでNISA枠を使わない,実務運用
