section,item1,item2,item3,item4,item5
resolution,1,候補10社の最終確定ロジック,固定版ロジックを作成し、母集団、必須データ、ハード除外、量的スコア、質的補助、3チャンネル比較、6月イベントゲート、最終分類の順に固定。,中心候補・条件付き候補・補欠・監視枠・除外を同じルールで分類できる。,6月イベント後の実数入力で、実際に通過銘柄を確定する。
resolution,2,公式決算・PER/PBR/ROE補完,未取得値を推測加点しないゲートへ変更。公式値、取得元、更新日、未取得理由、代替扱いを必須列にする。,PER/PBR/ROE、売上成長、利益成長、決算後反応が未取得なら購入候補ではなく補完待ちに落ちる。,各社IR、決算短信、証券会社・公式データで入力値を補完する。
resolution,3,決算後反応の検証,決算後1日、5日、20営業日の対TOPIX/日経平均超過リターンを最終採点前の確認ゲートにする。,20営業日未到達は暫定扱い。未到達データを確定スコアに混ぜない。,到来日ごとに株価時系列と決算日を結合して更新する。
resolution,4,質的テーマの実績検証,質的テーマを仮説層と実績層に分離。テーマ名だけの加点を禁止し、公式根拠・過去反応・売上寄与の有無でS/A/B/C上限を決める。,テーマ仮説だけなら最大B。過去反応か売上寄与がなければ購入候補化しない。,半導体、AIインフラ、フィジカルAI、量子のイベント履歴と株価反応を追加する。
resolution,5,量子コンピューター枠,量子は監視枠として固定。商用売上、受注、株価反応が確認できるまで6月NISA 1年テストの中心候補に入れない。,富士通、NEC等は監視枠表示。購入候補化しない理由を明示。,量子事業の収益寄与が見える資料を監視する。
resolution,6,候補群の比率設計,総合候補、攻め枠、守り枠、補欠、監視枠の比率上限を固定。赤ゲート時は攻め枠ゼロ、黄ゲート時は攻め枠縮小。,市場状態ごとに、個別株比率、攻め枠比率、現金比率が決まる。,6月イベント後の緑・黄・赤判定を入力して最終配分を出す。
resolution,7,上値・下値ルールの銘柄別補正,共通ルールに、最大下落率、60日下落率、ボラティリティ、決算日、テーマ崩れ条件を足して銘柄別補正する。,高ボラ銘柄は損切り・利確幅を機械的に広げず、比率を下げる。決算前後は追加停止を優先。,各銘柄の最大下落率とボラティリティを最新データで更新する。
resolution,8,S&P500/TOPIX比較と購入比率の接続,3か月、6か月、1年の指数劣後時に、個別株比率を下げる分岐を追加。,指数に劣後している場合、個別株比率を維持しない。+1%目標に届かない場合はインデックス・現金比率を上げる。,購入後の実績リターンを運用記録へ入力する。
resolution,9,税制レイヤーの実運用接続,税制レイヤーを確認補助から、購入前チェックの停止条件へ接続。NISA口座未確認、口座区分不明、NISA損失リスク、外国源泉税確認をゲート化。,NISAで買うべきか、課税口座向きか、確認必須かを購入前に表示する。,実際の保有ロット、年間損益、配当、外国税額控除候補を入力する。
resolution,10,実用画面の情報量,毎日見る項目を、今日見る数値、止める条件、次の作業、候補比較、NISA準備に整理。固定ロジックへの導線を追加。,顧客が最初に見る画面から、固定ロジック、候補比較、イベント判定、NISA準備へ進める。,6月イベント後は、入力結果だけを上部に出すさらに短い実務画面へ更新する。
required_data,PER,公式・証券会社・決算資料,未取得なら割高判定を確定しない,必須,
required_data,PBR,公式・証券会社・決算資料,未取得なら資産倍率判定を確定しない,高,
required_data,ROE,公式決算・有報・決算短信,未取得なら質/効率点を補完待ちにする,必須,
required_data,売上成長率,決算短信・IR,未取得なら成長点を補完待ちにする,必須,
required_data,利益成長率,決算短信・IR,未取得なら利益成長点を補完待ちにする,必須,
required_data,決算後1日反応,株価時系列 + 決算日,暫定反応として記録,高,
required_data,決算後5日反応,株価時系列 + 決算日,短期反応として記録,高,
required_data,決算後20日反応,株価時系列 + 決算日,未到達なら確定スコアへ混ぜない,必須,
required_data,最大下落率,過去株価時系列,比率・損切り幅・高ボラ判定へ接続,必須,
required_data,S&P500/TOPIX差,指数 + 個別株価,+1%目標と比率調整へ接続,必須,
allocation_gate,緑,全イベント通過、金利・指数・VIXに重大悪化なし,最大70%,最大20%,最低10%,中心候補を優先。攻め枠は小さく分散。
allocation_gate,黄,一部警戒。金利、SOX、為替、指数のどれかが不安定,最大45%,最大8%,最低30%,中心候補のみ。攻め枠は原則縮小。
allocation_gate,赤,CPI悪化、金利急騰、SOX/NASDAQ急落、日銀ショック等,0-20%,0%,最低60%,購入判断を止め、再判定まで待つ。
trade_rule,共通下値,-5%,新規追加停止。原因を市場要因・個社要因・テーマ崩れに分類。,,
trade_rule,共通下値,-10%,保有再判定。個社悪材料なら比率引き下げまたは除外。,,
trade_rule,高ボラ補正,最大下落率が大きい銘柄,損切り幅を広げるのではなく、初期比率を小さくする。,,
trade_rule,決算前,決算前に急騰・高PER・過去急落がある,決算通過後まで追加停止。,,
trade_rule,上値,+15-20%,一部利確または比率調整を検討。1年保有前提でも過熱時は固定しない。,,
trade_rule,指数劣後,3か月でS&P500/TOPIXに劣後,個別株比率を下げる候補にする。,,
benchmark_gate,3か月,個別株平均がS&P500/TOPIXを1%以上下回る,追加購入停止。敗因を銘柄・テーマ・市場に分類。,,
benchmark_gate,6か月,個別株平均がS&P500/TOPIXを2%以上下回る,個別株比率を20-30%下げ、インデックスまたは現金へ戻す。,,
benchmark_gate,1年,S&P500/TOPIXを+1%以上上回れない,翌年は個別株比率を下げ、効いた指標だけ残す。,,
benchmark_gate,1年,S&P500/TOPIXを+1%以上上回る,有効だった指標と銘柄条件を記録し、翌年の母集団条件へ反映。,,
tax_gate,NISA口座未確認,購入停止,口座区分が確認できるまで注文候補にしない。,,
tax_gate,注文画面の口座区分不明,購入停止,NISA/特定/一般の誤発注を避ける。,,
tax_gate,NISAで高ボラ個別株,保留または小さく,NISA損失は損益通算できないため。,,
tax_gate,外国株・海外ETF,外国源泉税確認,NISAでも外国税の扱いを確認する。,,
tax_gate,課税口座の含み損益あり,年末レビュー,損益通算・損失繰越の確認候補にする。,,
