updated_at,rank,ticker,company,sector,category,nisa_score,data_confidence,completion_score,readiness,financial_status,financial_note,price_risk_status,price_risk_note,earnings_reaction_status,earnings_reaction_note,sector_adjustment_status,sector_adjustment_note,plus1_status,plus1_note,event_causality_status,event_causality_note,remaining_gaps,next_action
2026/05/26 10:25,1,4385.T,メルカリ,ネット,残す,79.8,87,68,保留,一部接続,4/5項目接続。,接続済み,4/4項目接続。,一部接続,暫定: 20営業日未到達,一部接続,候補側指標2項目、同業2社。,接続済み,比較上は通過・ゲート保留,一部接続,保留: ゲート残存,財務指標 / 決算後20営業日反応 / 業種別補正 / イベント後リターン/因果,財務指標、決算後20営業日反応、業種別補正、イベント後リターン/因果を補完してから6月判定へ進める。
2026/05/26 10:25,2,2802.T,味の素,食品,残す,67.8,95,85,追加確認対象,接続済み,売上成長、利益成長、PER/PBR/ROEを接続。,接続済み,4/4項目接続。,一部接続,暫定: 20営業日未到達,一部接続,候補側指標3項目、同業2社。,接続済み,比較上は通過・ゲート保留,接続済み,4件のイベント後リターン接続。,決算後20営業日反応 / 業種別補正,決算後20営業日反応、業種別補正を補完してから6月判定へ進める。
2026/05/26 10:25,3,8316.T,三井住友FG,銀行,残す,65.1,95,85,追加確認対象,接続済み,売上成長、利益成長、PER/PBR/ROEを接続。,接続済み,4/4項目接続。,一部接続,暫定: 20営業日未到達,接続済み,PER比較: 同業並み,接続済み,比較上は通過・ゲート保留,一部接続,保留: ゲート残存,決算後20営業日反応 / イベント後リターン/因果,決算後20営業日反応、イベント後リターン/因果を補完してから6月判定へ進める。
2026/05/26 10:25,4,5020.T,ENEOS HD,エネルギー,残す,64.3,95,80,追加確認対象,接続済み,売上成長、利益成長、PER/PBR/ROEを接続。,接続済み,4/4項目接続。,一部接続,暫定: 20営業日未到達,一部接続,候補側指標3項目、同業3社。,接続済み,比較上は通過・ゲート保留,一部接続,保留: ゲート残存,決算後20営業日反応 / 業種別補正 / イベント後リターン/因果,決算後20営業日反応、業種別補正、イベント後リターン/因果を補完してから6月判定へ進める。
2026/05/26 10:25,5,8306.T,三菱UFJ FG,銀行,残す,62.1,92,83,追加確認対象,一部接続,4/5項目接続。,接続済み,4/4項目接続。,接続済み,既存値,一部接続,候補側指標2項目、同業3社。,接続済み,比較上は有力,接続済み,4件のイベント後リターン接続。,財務指標 / 業種別補正,財務指標、業種別補正を補完してから6月判定へ進める。
2026/05/26 10:25,6,6146.T,ディスコ,半導体装置,残す,60.9,92,78,追加確認対象,一部接続,4/5項目接続。,接続済み,4/4項目接続。,接続済み,既存値,一部接続,候補側指標2項目、同業5社。,接続済み,比較上は有力,一部接続,根拠不足,財務指標 / 業種別補正 / イベント後リターン/因果,財務指標、業種別補正、イベント後リターン/因果を補完してから6月判定へ進める。
2026/05/26 10:25,7,6762.T,TDK,電子部品,残す,60.7,100,95,追加確認対象,接続済み,売上成長、利益成長、PER/PBR/ROEを接続。,接続済み,4/4項目接続。,接続済み,既存値,接続済み,PER比較: 同業並み,接続済み,比較上は有力,一部接続,根拠不足,イベント後リターン/因果,イベント後リターン/因果を補完してから6月判定へ進める。
2026/05/26 10:25,8,6503.T,三菱電機,総合電機,残す,55.6,95,85,追加確認対象,接続済み,売上成長、利益成長、PER/PBR/ROEを接続。,接続済み,4/4項目接続。,一部接続,暫定: 20営業日未到達,接続済み,PER比較: 同業並み,接続済み,比較上は通過・ゲート保留,一部接続,保留: ゲート残存,決算後20営業日反応 / イベント後リターン/因果,決算後20営業日反応、イベント後リターン/因果を補完してから6月判定へ進める。
2026/05/26 10:25,9,8766.T,東京海上HD,保険,予備,65.4,100,85,追加確認対象,接続済み,売上成長、利益成長、PER/PBR/ROEを接続。,接続済み,4/4項目接続。,一部接続,暫定: 20営業日未到達,接続済み,PER比較: 同業並み,接続済み,指数優位・ゲートあり,一部接続,保留: ゲート残存,決算後20営業日反応 / イベント後リターン/因果,決算後20営業日反応、イベント後リターン/因果を補完してから6月判定へ進める。
2026/05/26 10:25,10,6367.T,ダイキン工業,空調,予備,52.6,100,85,追加確認対象,接続済み,売上成長、利益成長、PER/PBR/ROEを接続。,接続済み,4/4項目接続。,一部接続,暫定: 20営業日未到達,接続済み,PER比較: 同業並み,接続済み,指数優位・ゲートあり,一部接続,保留: ゲート残存,決算後20営業日反応 / イベント後リターン/因果,決算後20営業日反応、イベント後リターン/因果を補完してから6月判定へ進める。
