step,category,purpose,action,stop_condition,page_title,page_url,page_description
1,今日見る,市場が荒れていないか、候補の扱いを変える必要がないかを確認する。,まず現時点スナップショットを確認し、必要なら不足点トラッカーを見る。,赤要素、未確認の必須データ、説明できない急落がある場合は購入判断へ進めない。,現時点 判定スナップショット,909_final10_current_snapshot_20260606.html,現時点の保守判定と緑通過後の仮判定を見る。
1,今日見る,市場が荒れていないか、候補の扱いを変える必要がないかを確認する。,まず現時点スナップショットを確認し、必要なら不足点トラッカーを見る。,赤要素、未確認の必須データ、説明できない急落がある場合は購入判断へ進めない。,不足点10項目 回収トラッカー,913_gap_closure_tracker_20260606.html,残っている不足点と、購入判断への影響を見る。
1,今日見る,市場が荒れていないか、候補の扱いを変える必要がないかを確認する。,まず現時点スナップショットを確認し、必要なら不足点トラッカーを見る。,赤要素、未確認の必須データ、説明できない急落がある場合は購入判断へ進めない。,実用ダッシュボード,practical_action_dashboard_20260528.html,全体入口に戻る。
2,イベント後に見る,CPI・日銀・FOMC後の実数を入れて、緑・黄・赤を判定する。,実数入力シートに数値と判断理由を入れ、イベント判定エンジンと照合する。,CPI悪化、米金利急騰、急な円高、NASDAQ/SOX急落が重なる場合は停止。,6月イベント 実数入力シート,912_june_event_actual_input_sheet_20260606.html,CPI・日銀・FOMC後の実数と理由を入力する。
2,イベント後に見る,CPI・日銀・FOMC後の実数を入れて、緑・黄・赤を判定する。,実数入力シートに数値と判断理由を入れ、イベント判定エンジンと照合する。,CPI悪化、米金利急騰、急な円高、NASDAQ/SOX急落が重なる場合は停止。,6月イベント判定エンジン,893_june_event_gate_engine_20260606.html,市場ゲートを緑・黄・赤に整理する。
2,イベント後に見る,CPI・日銀・FOMC後の実数を入れて、緑・黄・赤を判定する。,実数入力シートに数値と判断理由を入れ、イベント判定エンジンと照合する。,CPI悪化、米金利急騰、急な円高、NASDAQ/SOX急落が重なる場合は停止。,6月実行コックピット,895_june_execution_cockpit_20260606.html,イベント後に見る指標と停止条件を確認する。
3,購入前に見る,候補・配分・NISA口座・税制・記録がそろっているか最終確認する。,購入前ゲートを確認し、銘柄別アクション票で扱いを決める。,本人操作、NISA口座区分、購入金額、記録条件が未確認なら購入判断に進めない。,購入前 最終ゲートチェック,910_prebuy_final_gate_checklist_20260606.html,購入前に必要な確認がそろっているか確認する。
3,購入前に見る,候補・配分・NISA口座・税制・記録がそろっているか最終確認する。,購入前ゲートを確認し、銘柄別アクション票で扱いを決める。,本人操作、NISA口座区分、購入金額、記録条件が未確認なら購入判断に進めない。,候補10社 銘柄別アクション票,911_ticker_action_tickets_20260606.html,緑・黄判定時の扱い、停止条件、利確条件を見る。
3,購入前に見る,候補・配分・NISA口座・税制・記録がそろっているか最終確認する。,購入前ゲートを確認し、銘柄別アクション票で扱いを決める。,本人操作、NISA口座区分、購入金額、記録条件が未確認なら購入判断に進めない。,最終10社 判定ワークベンチ,908_final10_decision_workbench_20260606.html,確認状況を入れて中心候補・条件付き・補欠へ分類する。
3,購入前に見る,候補・配分・NISA口座・税制・記録がそろっているか最終確認する。,購入前ゲートを確認し、銘柄別アクション票で扱いを決める。,本人操作、NISA口座区分、購入金額、記録条件が未確認なら購入判断に進めない。,NISA口座運用ハブ,882_nisa_account_operation_hub_20260605.html,本人操作、口座区分、注文票を確認する。
4,記録する,予想と実績の差を残し、S&P500/TOPIXに勝てているか検証する。,購入理由、買わない条件、実績、指数との差、次回修正を記録する。,記録できない場合は、テストとしての検証価値が下がるため、購入後の評価に進めない。,6月イベント後 実データ入力・入替記録,892_june_event_actual_input_and_replacement_log_20260606.html,実数と候補入替理由を記録する。
4,記録する,予想と実績の差を残し、S&P500/TOPIXに勝てているか検証する。,購入理由、買わない条件、実績、指数との差、次回修正を記録する。,記録できない場合は、テストとしての検証価値が下がるため、購入後の評価に進めない。,指数劣後時の比率引き下げルール,915_benchmark_underperformance_rules_20260606.html,指数に劣後した場合の個別株比率調整を確認する。
4,記録する,予想と実績の差を残し、S&P500/TOPIXに勝てているか検証する。,購入理由、買わない条件、実績、指数との差、次回修正を記録する。,記録できない場合は、テストとしての検証価値が下がるため、購入後の評価に進めない。,運用記録CSV,https://raw.githubusercontent.com/ob198-cpu/kabu/main/operation_record_template_20260529.csv,予想、実績、差分を記録するCSV。
4,記録する,予想と実績の差を残し、S&P500/TOPIXに勝てているか検証する。,購入理由、買わない条件、実績、指数との差、次回修正を記録する。,記録できない場合は、テストとしての検証価値が下がるため、購入後の評価に進めない。,税制レイヤー Phase 1,842_tax_aware_operation_layer_phase1_20260602.html,NISA・課税口座・損益通算不可などの確認補助を見る。
