updated_at,rank,ticker,company,selection_level,presentation_decision,quantitative_score,integrated_grade,theme_count,themes,concise_reason,first_check,stop_rule,current_treatment
2026/05/27 08:04,1,6762.T,TDK,第1層: 優先確認,本日説明の最優先候補,80.9,A,3,HBM・先端パッケージ / AI半導体投資 / 円安,量的評価A、質的評価A。AI半導体/HBM周辺と円安感応を確認する価値が最も高い。,20営業日反応、AI/HBM関連の売上・受注・利益率、為替感応度。,20営業日反応が指数劣後、または公式数字でテーマ接続が確認できない場合は第2層へ下げる。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,2,8316.T,三井住友FG,第2層: 条件付き確認,条件付きで残す候補,80.9,B,2,金利上昇 / 自社株買い・増配・資本効率,金利上昇と還元テーマに接続。ただし信用コストと日銀後の銀行株反応が条件。,資金利益、信用コスト、自己株式取得/増配、日銀後の金融株反応。,追加確認で下方修正、利益率悪化、指数劣後が出た場合は中心候補から外す。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,3,2802.T,味の素,第2層: 条件付き確認,条件付きで残す候補,76.0,B,3,食品値上げ耐性 / 円高 / 原油・ナフサ下落,食品値上げ耐性と原材料・為替テーマに接続。ただしPERの高さと数量維持を確認。,値上げ後の数量、原材料費、ABF/ヘルスケア成長、PER妥当性。,追加確認で下方修正、利益率悪化、指数劣後が出た場合は中心候補から外す。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,4,5020.T,ENEOS HD,第3層: 比較・観察,比較・観察候補,72.2,C,2,原油・中東リスク / 原油・ナフサ下落,原油・中東リスク / 原油・ナフサ下落に接続。ただし統合評価Cのため中心候補には置かない。,量的評価または質的確認が弱いため、補完後または比較対象に留める。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,5,6367.T,ダイキン工業,第3層: 比較・観察,比較・観察候補,70.3,C,2,データセンター冷却 / 円安,データセンター冷却 / 円安に接続。ただし統合評価Cのため中心候補には置かない。,量的評価または質的確認が弱いため、補完後または比較対象に留める。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,6,6503.T,三菱電機,第3層: 比較・観察,比較・観察候補,70.0,C,4,データセンター電力不足 / データセンター冷却 / 防衛・安全保障 / 人手不足・省人化,データセンター電力不足 / データセンター冷却 / 防衛・安全保障 / 人手不足・省人化に接続。ただし統合評価Cのため中心候補には置かない。,量的評価または質的確認が弱いため、補完後または比較対象に留める。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,7,8766.T,東京海上HD,第2層: 条件付き確認,条件付きで残す候補,66.9,B,2,金利上昇 / 自社株買い・増配・資本効率,金利・保険料率・資本効率テーマに接続。ただし災害損害率と引受利益を確認。,保険引受利益、自然災害損害率、政策保有株売却、金利感応度。,追加確認で下方修正、利益率悪化、指数劣後が出た場合は中心候補から外す。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,8,4385.T,メルカリ,第3層: データ補完,データ補完後に再判定,65.1,保留,2,人手不足・省人化 / 国内消費・プラットフォーム,人手不足・省人化 / 国内消費・プラットフォームに接続。ただし統合評価保留のため中心候補には置かない。,不足データを補完して再判定。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,9,8306.T,三菱UFJ FG,第3層: 比較・観察,データ補完後に再判定,65.0,C,2,金利上昇 / 自社株買い・増配・資本効率,金利上昇 / 自社株買い・増配・資本効率に接続。ただし統合評価Cのため中心候補には置かない。,量的評価または質的確認が弱いため、補完後または比較対象に留める。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,本日説明時点の検証候補。投資実行判断ではない。
2026/05/27 08:04,10,6146.T,ディスコ,第4層: 仮説検算,テーマ検算候補,49.0,C,3,AI半導体投資 / 半導体工程の寡占・高シェア / HBM・先端パッケージ,半導体工程の高シェア仮説は強いが、直近反応が弱いため検算枠に置く。,半導体工程需要、受注/出荷、利益率、SOXや日経半導体株との相対反応。,弱い株価反応の理由を説明できなければ、6月テスト候補へ戻さない。,本日説明時点の検証候補。投資実行判断ではない。
