updated_at,ticker,company,current_status,june_best_case,june_base_case,june_bad_case,first_action,allocation_note
2026/05/25 19:13,4385.T,メルカリ,残す,購入検討へ進む条件あり,候補維持または小口検討,購入検討不可または除外,共通市場ゲート通過後に個別ゲートを確認,購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/25 19:13,2802.T,味の素,残す,購入検討へ進む条件あり,候補維持または小口検討,購入検討不可または除外,共通市場ゲート通過後に個別ゲートを確認,購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/25 19:13,8316.T,三井住友FG,残す,購入検討へ進む条件あり,候補維持または小口検討,購入検討不可または除外,共通市場ゲート通過後に個別ゲートを確認,購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/25 19:13,5020.T,ENEOS HD,残す,小口検討または候補維持,候補維持または小口検討,購入検討不可または除外,共通市場ゲート通過後に個別ゲートを確認,購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/25 19:13,8306.T,三菱UFJ FG,残す,小口検討または候補維持,候補維持または小口検討,購入検討不可または除外,共通市場ゲート通過後に個別ゲートを確認,購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/25 19:13,6146.T,ディスコ,残す,小口検討または候補維持,候補維持または小口検討,購入検討不可または除外,共通市場ゲート通過後に個別ゲートを確認,購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/25 19:13,6762.T,TDK,残す,小口検討または候補維持,候補維持または小口検討,購入検討不可または除外,共通市場ゲート通過後に個別ゲートを確認,購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/25 19:13,6503.T,三菱電機,残す,候補維持,候補維持または小口検討,購入検討不可または除外,共通市場ゲート通過後に個別ゲートを確認,購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/25 19:13,8766.T,東京海上HD,予備,予備から検証候補へ昇格可能,予備維持,購入検討不可または除外,20営業日反応と公式説明資料の要因確認を優先,初回資金配分には入れない
2026/05/25 19:13,6367.T,ダイキン工業,予備,予備から検証候補へ昇格可能,予備維持,購入検討不可または除外,20営業日反応と公式説明資料の要因確認を優先,初回資金配分には入れない
