updated_at,phrase,level,replacement,note
2026/05/26 15:44,購入開始,禁止,開始判定 / 実施可否判断,売買を確定したように見えるため、現行表示では使わない。
2026/05/26 15:44,買う時期,禁止,開始判定 / 開始条件,日付だけで売買が決まる誤解を生むため、条件判定に置き換える。
2026/05/26 15:44,新規買い,禁止,新規投入,実売買を直接指示しているように見えるため、資金投入の判定表現へ置き換える。
2026/05/26 15:44,購入候補,禁止,検証候補 / 確認対象,購入確定に近く見えるため、現段階では使わない。
2026/05/26 15:44,保有候補,注意,検証候補,既存UIの名残。顧客向けには検証候補へ寄せる。
2026/05/26 15:44,分割候補,注意,分割検証候補,旧スコア資料に残る場合は、実施ではなく検証と明示する。
2026/05/26 15:44,売買判断,条件付き,売買判断ではない / 判断補助,否定文・注意文では使用可。肯定的に使わない。
2026/05/26 15:44,購入検討,条件付き,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明では使用可。購入対象の断定には使わない。
2026/05/26 15:44,見送り,条件付き,保留 / 除外 / 待機,過去表では使用可。現行判断では理由を必ず併記する。
2026/05/26 15:44,監視,注意,観察 / 確認,やや運用色が強いため、顧客向けでは観察・確認が望ましい。
