ticker,銘柄,役割,現判定,現上限,緑時参考上限,黄時参考上限,ブロック理由,解除条件,100社扱い,財務状態,期待信頼度,決算後反応,最大下落,注文票反映
8053.T,住友商事,中心候補,購入不可,0円,"157,500円",0円,6月イベント未完了 / 本人別NISA口座未確認,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認,再選定候補,pass,B,43.7,-35.8%,反映しない
8316.T,三井住友FG,中心候補,購入不可,0円,"157,500円",0円,6月イベント未完了 / 本人別NISA口座未確認,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認,再選定候補,pass,A,57.1,-29.4%,反映しない
6501.T,日立製作所,中心候補,購入不可,0円,"157,500円",0円,6月イベント未完了 / 本人別NISA口座未確認 / 期待仮説信頼度C / 決算後反応が弱い,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認 / 期待仮説信頼度Cの理由を解消または比率抑制,再選定候補,pass,C,29.1,-38.7%,反映しない
6503.T,三菱電機,条件付き候補,購入不可,0円,"52,500円",0円,6月イベント未完了 / 本人別NISA口座未確認 / 公式財務がpartial,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認 / 公式IRでPER/PBR/ROE・利益率・受注等を補完,再選定候補,partial,B,43.9,-34.0%,反映しない
6857.T,アドバンテスト,条件付き候補,購入不可,0円,"52,500円",0円,6月イベント未完了 / 本人別NISA口座未確認 / 公式財務がpartial / 監視扱い / 期待仮説信頼度C / 決算後反応が弱い / 過去最大下落が大きい,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認 / 公式IRでPER/PBR/ROE・利益率・受注等を補完 / 100社再選定の除外・監視理由が解消するまで保留 / 期待仮説信頼度Cの理由を解消または比率抑制,監視,partial,C,20.4,-51.4%,反映しない
8035.T,東京エレクトロン,条件付き候補,購入不可,0円,"52,500円",0円,6月イベント未完了 / 本人別NISA口座未確認 / 公式財務がpartial / 監視扱い / 過去最大下落が大きい,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認 / 公式IRでPER/PBR/ROE・利益率・受注等を補完 / 100社再選定の除外・監視理由が解消するまで保留,監視,partial,B,68.2,-55.8%,反映しない
7011.T,三菱重工業,条件付き候補,購入不可,0円,"52,500円",0円,6月イベント未完了 / 本人別NISA口座未確認 / 公式財務がpartial / 100社再選定で除外 / 期待仮説信頼度C / 決算後反応が弱い,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認 / 公式IRでPER/PBR/ROE・利益率・受注等を補完 / 100社再選定の除外・監視理由が解消するまで保留 / 期待仮説信頼度Cの理由を解消または比率抑制,除外,partial,C,34.5,-35.8%,反映しない
6762.T,TDK,条件付き候補,購入不可,0円,"52,500円",0円,6月イベント未完了 / 本人別NISA口座未確認 / 公式財務がpartial / 過去最大下落が大きい,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認 / 公式IRでPER/PBR/ROE・利益率・受注等を補完,再選定候補,partial,B,91.6,-46.3%,反映しない
6146.T,ディスコ,条件付き候補,購入不可,0円,"52,500円",0円,6月イベント未完了 / 本人別NISA口座未確認 / 公式財務がpartial / 100社再選定で除外 / 期待仮説信頼度C / 決算後反応が弱い / 過去最大下落が大きい,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認 / 公式IRでPER/PBR/ROE・利益率・受注等を補完 / 100社再選定の除外・監視理由が解消するまで保留 / 期待仮説信頼度Cの理由を解消または比率抑制,除外,partial,C,32.3,-65.2%,反映しない
5803.T,フジクラ,条件付き候補,購入不可,0円,"52,500円",0円,6月イベント未完了 / 本人別NISA口座未確認 / 公式財務がpartial / 100社再選定で除外 / 期待仮説信頼度C / 決算後反応が弱い / 過去最大下落が大きい,日銀・FOMC・最終確認を入力 / 本人別NISA口座・本人操作・残枠を確認 / 公式IRでPER/PBR/ROE・利益率・受注等を補完 / 100社再選定の除外・監視理由が解消するまで保留 / 期待仮説信頼度Cの理由を解消または比率抑制,除外,partial,C,0,-50.7%,反映しない
