作成時刻,分類,対象,現状,揃っているもの,不足しているもの,改善後の扱い,スコア反映,次アクション
2026/6/16 2:43:14,総括,財務データ,3/10銘柄がpass、7/10銘柄がpartial,既存の財務確認ゲート、公式確認ルート、入力候補,67項目が公式確認待ち。完了銘柄は0銘柄,passとpartialを分け、partialはスコア・比率へ混ぜない,passのみ財務ゲート内で使用可,partial銘柄の公式値と出所を埋める
2026/6/16 2:43:14,総括,P1ゲート,36/44項目 / 6/8ゲート / 0社 / 0円,入力・ゲート・復帰可否を分ける仕組み,6月イベント後の指数反応、個別反応、説明可能性,全ゲート通過まで候補順位と買付上限を動かさない,禁止,6月イベント入力後にP1復帰可否を再判定
2026/6/16 2:43:14,財務データ,8053.T 住友商事,公式確認済み扱い,財務確認ゲートを通過済み,6月イベント、指数反応、口座確認は別ゲートで未完了,財務面は候補比較に使える。ただし買付はイベント・口座ゲート通過後,財務ゲート内で使用可,6月イベント後にP1復帰可否を再判定
2026/6/16 2:43:14,財務データ,8316.T 三井住友FG,公式確認済み扱い,財務確認ゲートを通過済み,6月イベント、指数反応、口座確認は別ゲートで未完了,財務面は候補比較に使える。ただし買付はイベント・口座ゲート通過後,財務ゲート内で使用可,6月イベント後にP1復帰可否を再判定
2026/6/16 2:43:14,財務データ,6501.T 日立製作所,公式確認済み扱い,財務確認ゲートを通過済み,6月イベント、指数反応、口座確認は別ゲートで未完了,財務面は候補比較に使える。ただし買付はイベント・口座ゲート通過後,財務ゲート内で使用可,6月イベント後にP1復帰可否を再判定
2026/6/16 2:43:14,財務データ,6503.T 三菱電機,partial,一部数値・確認ルート・入力候補,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,未確認値をスコアに混ぜない。公式値・出所・資料日付が揃うまで比率を上げない,禁止,三菱電機IR/決算短信・説明資料でPER/PBR/ROE/EPS/BPS、営業利益率、会社予想、還元方針を確認
2026/6/16 2:43:14,財務データ,6857.T アドバンテスト,partial,一部数値・確認ルート・入力候補,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,未確認値をスコアに混ぜない。公式値・出所・資料日付が揃うまで比率を上げない,禁止,アドバンテストIR/決算資料でPER/PBR/ROE/EPS/BPS、営業利益率、会社予想、還元方針を確認
2026/6/16 2:43:14,財務データ,8035.T 東京エレクトロン,partial,一部数値・確認ルート・入力候補,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,未確認値をスコアに混ぜない。公式値・出所・資料日付が揃うまで比率を上げない,禁止,東京エレクトロンIR/決算短信でPER/PBR/ROE/EPS/BPS、営業利益率、会社予想、還元方針を確認
2026/6/16 2:43:14,財務データ,7011.T 三菱重工業,partial,一部数値・確認ルート・入力候補,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,未確認値をスコアに混ぜない。公式値・出所・資料日付が揃うまで比率を上げない,禁止,三菱重工IR/決算資料でPER/PBR/ROE/EPS/BPS、営業利益率、会社予想、還元方針を確認
2026/6/16 2:43:14,財務データ,6762.T TDK,partial,一部数値・確認ルート・入力候補,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,未確認値をスコアに混ぜない。公式値・出所・資料日付が揃うまで比率を上げない,禁止,TDK IR/決算短信でPER/PBR/ROE/EPS/BPS、営業利益率、会社予想、還元方針を確認
2026/6/16 2:43:14,財務データ,6146.T ディスコ,partial,一部数値・確認ルート・入力候補,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,未確認値をスコアに混ぜない。公式値・出所・資料日付が揃うまで比率を上げない,禁止,ディスコIR/決算説明資料でPER/PBR/ROE/EPS/BPS、営業利益率、会社予想、還元方針を確認
2026/6/16 2:43:14,財務データ,5803.T フジクラ,partial,一部数値・確認ルート・入力候補,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,未確認値をスコアに混ぜない。公式値・出所・資料日付が揃うまで比率を上げない,禁止,フジクラIR/決算短信でPER/PBR/ROE/EPS/BPS、営業利益率、会社予想、還元方針を確認
2026/6/16 2:43:14,質的テーマ,半導体製造装置・材料,仮説層は整理済み・実績層は未完了,AI・データセンター需要が続くと、製造装置、検査、材料、消耗品に二次需要が出る。,候補銘柄の決算後反応、SOX指数、受注・セグメント利益、指数差で検証する。 反証条件: SOX下落、受注鈍化、高PER説明不可、候補銘柄が指数に明確劣後。,仮説だけでは加点しない。実績層または公式数値で裏取りできた場合だけ補助評価に使う,原則禁止。検証済みイベント反応がある場合のみ補助係数,ニュース、公式IR、業界統計、イベント後リターンを同じ表へ入れて、仮説・実績・反証を分ける
2026/6/16 2:43:14,質的テーマ,AIインフラ・データセンター,仮説層は整理済み・実績層は未完了,AI計算需要が増えると、電力、冷却、電線、重電、制御機器へ資金が回る。,電力投資、設備受注、データセンター関連売上、候補銘柄の指数超過で検証する。 反証条件: 設備投資鈍化、金利上昇でインフラ投資が遅れる、株価だけ先行し業績寄与が弱い。,仮説だけでは加点しない。実績層または公式数値で裏取りできた場合だけ補助評価に使う,原則禁止。検証済みイベント反応がある場合のみ補助係数,ニュース、公式IR、業界統計、イベント後リターンを同じ表へ入れて、仮説・実績・反証を分ける
2026/6/16 2:43:14,質的テーマ,金利・金融,仮説層は整理済み・実績層は未完了,日銀・米金利が銀行利ざやや保険運用益に影響する。,日銀結果、長期金利、銀行株反応、決算の利ざや・与信費用で検証する。 反証条件: 急な円高、信用コスト悪化、日銀方針が市場予想と逆に動く。,仮説だけでは加点しない。実績層または公式数値で裏取りできた場合だけ補助評価に使う,原則禁止。検証済みイベント反応がある場合のみ補助係数,ニュース、公式IR、業界統計、イベント後リターンを同じ表へ入れて、仮説・実績・反証を分ける
2026/6/16 2:43:14,質的テーマ,防衛・重工,仮説層は整理済み・実績層は未完了,国策・防衛費・安全保障需要が長期テーマになる。,受注残、予算、セグメント利益、過去上昇後の反落率で検証する。 反証条件: 過熱後の大幅下落、受注が利益化しない、指数に劣後。,仮説だけでは加点しない。実績層または公式数値で裏取りできた場合だけ補助評価に使う,原則禁止。検証済みイベント反応がある場合のみ補助係数,ニュース、公式IR、業界統計、イベント後リターンを同じ表へ入れて、仮説・実績・反証を分ける
2026/6/16 2:43:14,質的テーマ,量子コンピューター,仮説層は整理済み・実績層は未完了,将来テーマとしては大きいが、1年NISAテストでは業績寄与が見えにくい。,売上寄与、受注、提携、株価反応が確認できるまで監視枠。 反証条件: ニュースだけで業績影響が薄い、関連売上が小さい、出来高だけの短期材料。,仮説だけでは加点しない。実績層または公式数値で裏取りできた場合だけ補助評価に使う,原則禁止。検証済みイベント反応がある場合のみ補助係数,ニュース、公式IR、業界統計、イベント後リターンを同じ表へ入れて、仮説・実績・反証を分ける
2026/6/16 2:43:14,質的テーマ,フィジカルAI・ロボティクス,仮説層は整理済み・実績層は未完了,人手不足、工場自動化、制御、センサー、FA需要とつながる。,FA売上、受注、利益率、設備投資統計、候補銘柄の指数超過で検証する。 反証条件: 中国・設備投資の鈍化、在庫調整、セグメント利益が伸びない。,仮説だけでは加点しない。実績層または公式数値で裏取りできた場合だけ補助評価に使う,原則禁止。検証済みイベント反応がある場合のみ補助係数,ニュース、公式IR、業界統計、イベント後リターンを同じ表へ入れて、仮説・実績・反証を分ける
