theme,event,chain,beneficiary_type,japan_examples,hypothesis_layer,evidence_layer,required_numbers,reject_condition,scoring_use
AI半導体投資,AIサーバー投資、GPU需要、先端半導体投資の継続,AI計算需要 -> 先端GPU/ASIC増加 -> ウエハ処理・検査・後工程需要 -> 装置・部材・検査企業に波及,半導体製造装置、検査装置、精密加工、電子部品,東京エレクトロン、SCREEN、ディスコ、レーザーテック、アドバンテスト、TDKなどを候補化して確認,S,未接続,対象セグメント売上、受注高、受注残、営業利益率、会社コメント、SOX/NASDAQ/日経半導体株指数との相対株価,主要顧客の投資延期、在庫調整、輸出規制、利益率悪化、決算後20営業日で指数劣後,候補抽出と確認条件。単純加点しない。
半導体工程の寡占・高シェア,先端工程で特定プロセスの能力が不足する,先端半導体増産 -> エッチング/成膜/洗浄/露光/検査の工程負荷増 -> 高シェア工程企業の稼働・受注確認,工程別に高シェアを持つ装置・部材企業,東京エレクトロン、SCREEN、レーザーテック、ディスコなど。各社の工程・シェアは公式資料または業界資料で確認,S,未接続,工程別売上、WFE投資、受注残、顧客集中度、粗利率、PERが成長率で説明可能か,シェア根拠が確認できない、工程需要が数字に出ない、PER調整に耐えない,質的S候補。ただし公式数字と株価反応がそろうまで統合Sにしない。
HBM・先端パッケージ,AI向けメモリ、HBM、先端パッケージ投資が増える,AIサーバー増加 -> HBM/先端パッケージ不足 -> 後工程装置、テスター、基板、材料需要,後工程装置、検査、基板、材料、電子部品,アドバンテスト、イビデン、TDK、ディスコなどを候補化して確認,A,未接続,該当事業の売上成長、受注、利益率、顧客需要コメント、メモリ市況指標,メモリ投資鈍化、顧客在庫増、需要コメント悪化,候補抽出。量的評価B以下なら上限をB以下に抑える。
データセンター電力不足,AIデータセンター増加で電力・変電・配電設備が不足する,データセンター建設 -> 電力容量不足 -> 変圧器/配電/UPS/電源部品/工事需要,重電、電源、変圧器、電設、インフラ機器,三菱電機、日立、明電舎、フジクラ、古河電工などを候補化して確認,A,未接続,電力インフラ関連売上、受注残、データセンター向け比率、設備投資計画、電力需要統計,需要が一般設備投資に埋もれる、利益率が伸びない、受注残が増えない,時流候補抽出。受注・利益率確認が通過条件。
データセンター冷却,AIサーバー高発熱化で冷却投資が増える,GPU高密度化 -> 空調/液冷/熱管理需要 -> 空調機器・制御・部材需要,空調、冷却、熱管理、制御部品,ダイキン工業、三菱電機、電子部品企業などを候補化して確認,A,未接続,データセンター向け売上、地域別利益、中国/欧米需要、会社コメント,データセンター寄与が小さい、空調全体の需要鈍化、中国需要悪化,質的Bから開始。数値接続でA化を検討。
円安,ドル円上昇、海外売上の円換算増加,円安 -> 海外売上の円換算増 -> 輸出/海外比率高い企業の利益押し上げ,輸出、海外売上比率の高い製造業、商社,電子部品、自動車、機械、商社など。企業別海外売上比率で確認,B,一部接続可,海外売上比率、為替感応度、ドル円変化率、営業利益見通し、ヘッジ状況,円安でもコスト増が上回る、為替感応度が小さい、円高反転,マクロ感応度ゲート。単独では候補にしない。
円高,日銀政策変更、米金利低下などで円高が進む,円高 -> 輸入コスト低下/海外利益目減り -> 輸入企業と輸出企業で明暗,輸入比率が高い企業、内需企業、原材料輸入企業,食品、日用品、電力・ガス、航空などを候補化して確認,B,一部接続可,輸入原価比率、為替感応度、原材料価格、価格転嫁状況,需要数量が落ちる、価格競争で利益に残らない、海外利益減が大きい,候補のリスク分岐と追い風分岐に使う。
金利上昇,日銀利上げ、米長期金利上昇,金利上昇 -> 銀行利ざや改善期待/グロース割引率上昇 -> 銀行・保険と高PER株で明暗,銀行、保険、金利感応株,三井住友FG、三菱UFJ、東京海上HDなどを候補化して確認,A,一部接続可,資金利益、信用コスト、保険引受利益、政策保有株売却、日銀後の株価反応,信用コスト増、景気悪化扱い、長期金利急低下、金融株が指数劣後,市場ゲートと候補別ゲートに使う。
原油・ナフサ下落,原油、ナフサ、化学原料価格が下がる,原材料価格下落 -> 原価低下 -> 化学/食品/運輸などの利益率改善余地,化学、食品、包装、運輸、航空,化学・食品・運輸企業を候補化して確認,B,未接続,ナフサ価格、原材料費率、売価維持率、在庫影響、営業利益率,売価下落が先行、需要減、在庫評価損、原材料データが取得できない,業界テーマ候補。データ取得できる範囲を明示して扱う。
原油・中東リスク,戦争、海上輸送リスク、ホルムズ海峡リスク,供給不安 -> 原油/海運/保険料上昇 -> エネルギー・商社・海運に追い風、航空・化学に逆風,エネルギー、商社、海運、防衛関連,ENEOS、INPEX、商社、海運企業などを候補化して確認,B,一部接続可,油価、精製マージン、在庫影響、海運市況、会社の感応度,停戦、油価急落、精製マージン悪化、在庫評価損,イベント監視。短期反応が大きいため1年保有適性を別確認。
