updated_at,rank,ticker,company,current_priority,quantitative_score,integrated_grade,buffett_relation,buffett_check,action_rule,alert_rule,qualitative_gate,score_use
2026/05/27 08:51,1,6762.T,TDK,最優先確認,80.9,A,直接接続なし,バークシャー売買とは直接接続しない。通常の量的評価と各社テーマで確認。,バフェット項目は加点にも減点にも使わない。,市場全体のリスク材料としてのみ確認。,対象外,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,2,8316.T,三井住友FG,条件付き確認,80.9,B,間接接続: 銀行・金利・信用コスト,米国銀行株の売買変化、資金利益、信用コスト、日銀後の金融株反応、自己株買い/増配,米国銀行株の動きは補助材料。日本の決算と日銀後反応を優先する。,米国銀行株の大幅売却と信用不安ニュースが重なる場合は警戒。,警戒条件,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,3,2802.T,味の素,条件付き確認,76.0,B,直接接続なし,バークシャー売買とは直接接続しない。通常の量的評価と各社テーマで確認。,バフェット項目は加点にも減点にも使わない。,市場全体のリスク材料としてのみ確認。,対象外,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,4,5020.T,ENEOS HD,比較・観察,72.2,C,間接接続: エネルギー・原油循環,Chevronなどエネルギー株の増減、原油価格、精製マージン、在庫影響、指数比較,原油・資源循環の参考材料にする。1年保有候補では過熱と循環リスクを別管理。,エネルギー株の大幅売却、原油急落、精製マージン悪化が重なる場合は下げる。,警戒条件,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,5,6367.T,ダイキン工業,比較・観察,70.3,C,直接接続なし,バークシャー売買とは直接接続しない。通常の量的評価と各社テーマで確認。,バフェット項目は加点にも減点にも使わない。,市場全体のリスク材料としてのみ確認。,対象外,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,6,6503.T,三菱電機,比較・観察,70.0,C,直接接続なし,バークシャー売買とは直接接続しない。通常の量的評価と各社テーマで確認。,バフェット項目は加点にも減点にも使わない。,市場全体のリスク材料としてのみ確認。,対象外,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,7,8766.T,東京海上HD,条件付き確認,66.9,B,直接接続: 保険・提携監視,バークシャー傘下会社との提携、保険引受利益、自然災害損害率、政策保有株売却、ROE/PBR,提携ニュースだけで上げない。保険利益と資本効率が確認できれば条件付き確認を維持。,提携効果が数字に出ない、自然災害損害率悪化、決算後指数劣後なら下げる。,確認条件,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,8,4385.T,メルカリ,比較・観察,65.1,保留,直接接続なし,バークシャー売買とは直接接続しない。通常の量的評価と各社テーマで確認。,バフェット項目は加点にも減点にも使わない。,市場全体のリスク材料としてのみ確認。,対象外,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,9,8306.T,三菱UFJ FG,比較・観察,65.0,C,間接接続: 銀行・金利・信用コスト,米国銀行株の売買変化、資金利益、信用コスト、日銀後の金融株反応、自己株買い/増配,米国銀行株の動きは補助材料。日本の決算と日銀後反応を優先する。,米国銀行株の大幅売却と信用不安ニュースが重なる場合は警戒。,警戒条件,直接加点しない。確認条件・警戒条件として使用。
2026/05/27 08:51,10,6146.T,ディスコ,データ補完,49.0,C,直接接続なし,バークシャー売買とは直接接続しない。通常の量的評価と各社テーマで確認。,バフェット項目は加点にも減点にも使わない。,市場全体のリスク材料としてのみ確認。,対象外,直接加点しない。確認条件・警戒条件として使用。
