generated_at,ticker,company,current_class,quant_score,qualitative_score,connection,reference_ticker,reference_theme,reference_return_pct,reference_role,system_action,caution
2026/05/27 10:51,2802.T,味の素,第1候補群,67.8,71.9,未接続,,未接続,,,勝者ポートフォリオとの接続は弱い。既存の量的スコアと6月再判定を優先する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,6762.T,TDK,第2候補群,60.7,72.6,テーマ近似,6516 山洋電気,半導体・AI・大型成長,+292.8%,上昇寄与枠,同じテーマの勝者例として参照。ただし現在候補は別銘柄なので、決算・PER・反応で別途確認する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,6146.T,ディスコ,第2候補群,60.9,72.6,テーマ近似,6516 山洋電気,半導体・AI・大型成長,+292.8%,上昇寄与枠,同じテーマの勝者例として参照。ただし現在候補は別銘柄なので、決算・PER・反応で別途確認する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,4385.T,メルカリ,補欠候補,79.8,50,未接続,,未接続,,,勝者ポートフォリオとの接続は弱い。既存の量的スコアと6月再判定を優先する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,9984.T,ソフトバンクG,補欠候補,66.9,50,直接一致,9984 ソフトバンクG,半導体・AI・大型成長,+155.0%,上昇寄与枠,勝者ポートフォリオ内での役割と、現在候補としての量的/質的根拠を照合する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,7012.T,川崎重工業,監視のみ,59.9,50,テーマ近似,8053 住友商事,資本財・重工・景気循環,+214.1%,収益けん引枠,同じテーマの勝者例として参照。ただし現在候補は別銘柄なので、決算・PER・反応で別途確認する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,8316.T,三井住友FG,監視のみ,65.1,62,直接一致,8316 三井住友FG,金利・金融,+279.4%,収益けん引枠,勝者ポートフォリオ内での役割と、現在候補としての量的/質的根拠を照合する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,5020.T,ENEOS HD,監視のみ,64.3,62,未接続,,未接続,,,勝者ポートフォリオとの接続は弱い。既存の量的スコアと6月再判定を優先する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,6503.T,三菱電機,監視のみ,55.6,69.6,未接続,,未接続,,,勝者ポートフォリオとの接続は弱い。既存の量的スコアと6月再判定を優先する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,8306.T,三菱UFJ FG,監視のみ,62.1,62,直接一致,8306 三菱UFJ FG,金利・金融,+160.2%,収益けん引枠,勝者ポートフォリオ内での役割と、現在候補としての量的/質的根拠を照合する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,6501.T,日立製作所,監視のみ,59.3,50,未接続,,未接続,,,勝者ポートフォリオとの接続は弱い。既存の量的スコアと6月再判定を優先する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
2026/05/27 10:51,8002.T,丸紅,監視のみ,53,50,未接続,,未接続,,,勝者ポートフォリオとの接続は弱い。既存の量的スコアと6月再判定を優先する。,参照ポートフォリオは将来リターンの保証ではない。勝ち筋の構造確認と候補比較の補助に限定する。
