updated_at,ticker,company,field_id,official_field,score_area,required_level,formula_after_confirmation,suggested_source,source_hint,source_reach_status,input_status,auto_extract_status,score_reflection_status,next_action
2026/05/20 17:39,8316.T,三井住友FG,sales_growth,売上高・売上収益の前年比,成長力,必須,(当期売上 - 前期売上) ÷ 前期売上,https://www.smfg.co.jp/investor/,決算短信、決算説明資料,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8316.T,三井住友FG,operating_profit_growth,営業利益・事業利益の前年比,収益力,必須,(当期営業利益 - 前期営業利益) ÷ 前期営業利益,https://www.smfg.co.jp/investor/,決算短信、決算説明資料,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8316.T,三井住友FG,eps_or_net_income,EPSまたは親会社帰属利益,利益成長,高,EPS前年比、または純利益前年比,https://www.smfg.co.jp/investor/,決算短信,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8316.T,三井住友FG,fcf_or_operating_cf,FCFまたは営業キャッシュフロー,現金創出力,高,営業CF - 投資CF、または会社開示FCF,https://www.smfg.co.jp/investor/,決算短信、補足資料,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8316.T,三井住友FG,equity_or_solvency,自己資本比率・財務健全性指標,安全性,高,自己資本 ÷ 総資産、または業種別の健全性指標,https://www.smfg.co.jp/investor/,決算短信、統合報告書,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8316.T,三井住友FG,shareholder_return,配当・自社株買い・還元方針,株主還元,高,配当利回り、配当性向、自己株取得額を確認,https://www.smfg.co.jp/investor/,決算短信、説明会資料、適時開示,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8316.T,三井住友FG,full_year_guidance,会社予想・通期見通し,先行き,必須,会社予想の上方/据置/下方を分類,https://www.smfg.co.jp/investor/,決算短信、説明会資料,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8316.T,三井住友FG,risk_comment,主なリスク・事業環境コメント,除外/注意条件,中,定性コメントを注意フラグに分類,https://www.smfg.co.jp/investor/,決算説明資料、質疑応答、統合報告書,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8766.T,東京海上HD,sales_growth,売上高・売上収益の前年比,成長力,必須,(当期売上 - 前期売上) ÷ 前期売上,https://www.tokiomarinehd.com/ir/,決算短信、決算説明資料,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8766.T,東京海上HD,operating_profit_growth,営業利益・事業利益の前年比,収益力,必須,(当期営業利益 - 前期営業利益) ÷ 前期営業利益,https://www.tokiomarinehd.com/ir/,決算短信、決算説明資料,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8766.T,東京海上HD,eps_or_net_income,EPSまたは親会社帰属利益,利益成長,高,EPS前年比、または純利益前年比,https://www.tokiomarinehd.com/ir/,決算短信,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8766.T,東京海上HD,fcf_or_operating_cf,FCFまたは営業キャッシュフロー,現金創出力,高,営業CF - 投資CF、または会社開示FCF,https://www.tokiomarinehd.com/ir/,決算短信、補足資料,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8766.T,東京海上HD,equity_or_solvency,自己資本比率・財務健全性指標,安全性,高,自己資本 ÷ 総資産、または業種別の健全性指標,https://www.tokiomarinehd.com/ir/,決算短信、統合報告書,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
2026/05/20 17:39,8766.T,東京海上HD,shareholder_return,配当・自社株買い・還元方針,株主還元,高,配当利回り、配当性向、自己株取得額を確認,https://www.tokiomarinehd.com/ir/,決算短信、説明会資料、適時開示,公式ページ到達,未入力,未実装,本体スコア未反映,公式資料の表で対象期間・当期値・前期値・単位を確認して入力
