generated_at,ticker,company,final_group,key_numbers,positive_basis,caution_basis,explanation
2026/05/27 11:52,2802.T,味の素,中心候補,再計算63.4点 / 最終補正66.4点 / 充足10/10 / 反応65.8点,売上3.5% / 利益75% / ROE17.75% / 1年51.6%,なし,データ充足10/10、再計算63.4点、決算後反応65.8点。大きな警戒表示がなく、6月再判定に残せる。
2026/05/27 11:52,8316.T,三井住友FG,中心候補,再計算61.1点 / 最終補正64.1点 / 充足10/10 / 反応55.5点,売上6.1% / 利益34% / ROE10.38% / 1年65%,なし,データ充足10/10、再計算61.1点、決算後反応55.5点。大きな警戒表示がなく、6月再判定に残せる。
2026/05/27 11:52,6762.T,TDK,中心候補,再計算60.2点 / 最終補正63.2点 / 充足10/10 / 反応63.8点,売上13.6% / 利益21.5% / ROE9.81% / 1年135.7%,なし,データ充足10/10、再計算60.2点、決算後反応63.8点。大きな警戒表示がなく、6月再判定に残せる。
2026/05/27 11:52,8053.T,住友商事,中心候補,再計算57.8点 / 最終補正60.8点 / 充足10/10 / 反応59.6点,売上0.6% / 利益0.9% / ROE12.94% / 1年98.2%,なし,データ充足10/10、再計算57.8点、決算後反応59.6点。大きな警戒表示がなく、6月再判定に残せる。
2026/05/27 11:52,8306.T,三菱UFJ FG,条件付き中心候補,再計算58.4点 / 最終補正54.4点 / 充足9/10 / 反応55.4点,売上7.3% / 利益27.7% / ROE11.34% / 1年53.6%,未取得: PER,再計算58.4点で比較圏内。残課題はPER。不足項目を補完できれば中心候補に近い。
2026/05/27 11:52,7173.T,東京きらぼしFG,監視候補,再計算66.4点 / 最終補正66.4点 / 充足10/10 / 反応34.5点,売上23.9% / 利益45.2% / ROE10.66% / 1年114.1%,決算後反応34.5点,再計算66.4点。決算後反応34.5点のため、中心候補ではなく監視候補として扱う。
2026/05/27 11:52,9984.T,ソフトバンクG,監視候補,再計算73.8点 / 最終補正61.8点 / 充足9/10 / 反応52.9点,売上7.7% / 利益259.9% / ROE34.28% / 1年285.2%,未取得: PER / 1年上昇285.2%,再計算73.8点。未取得: PER / 1年上昇285.2%のため、中心候補ではなく監視候補として扱う。
2026/05/27 11:52,7735.T,SCREEN HD,監視候補,再計算54.1点 / 最終補正49.1点 / 充足10/10 / 反応57.3点,売上-3.1% / 利益-9.7% / ROE20.28% / 1年117.5%,利益成長マイナス: -9.7%,再計算54.1点。利益成長マイナス: -9.7%のため、中心候補ではなく監視候補として扱う。
2026/05/27 11:52,6146.T,ディスコ,監視候補,再計算56.2点 / 最終補正46.2点 / 充足9/10 / 反応55.6点,売上11.1% / 利益10.9% / ROE25.15% / 1年103.5%,未取得: PER / PBR12.74倍,再計算56.2点。未取得: PER / PBR12.74倍のため、中心候補ではなく監視候補として扱う。
2026/05/27 11:52,7011.T,三菱重工業,監視候補,再計算42.9点 / 最終補正35.9点 / 充足10/10 / 反応50.6点,売上-1.1% / 利益26.7% / ROE12.22% / 1年18.2%,60日最大下落-25.3%,再計算42.9点。60日最大下落-25.3%のため、中心候補ではなく監視候補として扱う。
