updated_at,date,type,target,check_item,action,source,source_url
2026/05/27 01:54,2026-05-26,銘柄イベント,ディスコ（6146.T）,決算後20営業日の対日経平均超過リターンを確認,弱い反応の原因が説明できなければ主候補へ戻さない。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-01,銘柄イベント,TDK（6762.T）,決算後20営業日の対日経平均超過リターンを確認,20営業日反応が悪化しなければ主候補を維持。悪化時は比較枠へ下げる。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-01,銘柄イベント,三菱電機（6503.T）,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-04,銘柄イベント,味の素（2802.T）,決算後20営業日の対日経平均超過リターンを確認,20営業日反応が悪化しなければ主候補を維持。悪化時は比較枠へ下げる。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-08,銘柄イベント,メルカリ（4385.T）,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-09,銘柄イベント,ダイキン工業（6367.T）,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-10,市場イベント,米5月CPI発表,前年比、前月比、コアCPI、米10年金利、ドル円、NASDAQ/SOX反応,インフレ再加速と金利急騰が同時に出た場合、6月の個別株比率を下げる。予想内なら候補再判定を継続。,BLS,https://www.bls.gov/schedule/news_release/cpi.htm
2026/05/27 01:54,2026-06-10,銘柄イベント,三井住友FG（8316.T）,決算後20営業日の対日経平均超過リターンを確認,20営業日反応が悪化しなければ主候補を維持。悪化時は比較枠へ下げる。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-11,銘柄イベント,ENEOS HD（5020.T）,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-12,銘柄イベント,三菱UFJ FG（8306.T）,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-06-15〜2026-06-16,市場イベント,日銀金融政策決定会合,政策金利、声明、国債買入れ、円高/円安、銀行株・輸出株・内需株の反応,急な円高または銀行株の市場劣後が出た場合、銀行・海外比率が高い候補の比率を抑える。,日本銀行,https://www.boj.or.jp/en/mopo/mpmsche_minu/index.htm
2026/05/27 01:54,2026-06-16〜2026-06-17,市場イベント,FOMC,政策金利、SEP、ドットプロット、米10年金利、NASDAQ/SOX、ドル円,金利上振れ・高PER株売りが強い場合、半導体・成長株の候補を減点。落ち着けば候補維持。,FRB,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2026/05/27 01:54,2026-06-17,銘柄イベント,東京海上HD（8766.T）,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。,既存株価データ / 日経平均比較,
2026/05/27 01:54,2026-07-28〜2026-07-29,市場イベント,FOMC追加確認,6月判断後の金利・株式市場の継続性,6月に小さく開始した場合の継続・停止・追加判断に使う。,FRB,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2026/05/27 01:54,2026-07-30〜2026-07-31,市場イベント,日銀追加確認,円相場、銀行株、内需株、輸出株の反応,夏の追加判断で、銀行・輸出・内需の比率を調整する。,日本銀行,https://www.boj.or.jp/en/mopo/mpmsche_minu/index.htm
