queue_rank,priority,task_type,ticker,company,theme_name,qualitative_score,nisa_score,bridge_status,blocker,task_detail,next_action
1,S,6月イベント前監視,6146.T,ディスコ,AIデータセンター電力・冷却,81.6,61.8,数値ゲート通過候補,市場イベント未確認,購入確定ではなく、6月イベント後の再判定対象として日経75日線、米金利、為替、最新決算コメントを確認する。,6月イベント後、日経75日線、米10年金利、為替、最新決算コメントを確認して購入可否を再判定。
2,S,6月イベント前監視,8306.T,三菱UFJ FG,金利上昇・銀行保険,79.9,60.8,数値ゲート通過候補,市場イベント未確認,購入確定ではなく、6月イベント後の再判定対象として日経75日線、米金利、為替、最新決算コメントを確認する。,6月イベント後、日経75日線、米10年金利、為替、最新決算コメントを確認して購入可否を再判定。
3,A,NISAスコア接続,8035.T,東京エレクトロン,AIデータセンター電力・冷却,81.1,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
4,A,NISAスコア接続,7011.T,三菱重工業,防衛・安全保障,80.7,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
5,A,信頼度補完,6501.T,日立製作所,AIデータセンター電力・冷却,82.6,53.5,数値確認中,決算後反応未取得 / データ信頼度70未満,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
6,A,信頼度補完,6503.T,三菱電機,AIデータセンター電力・冷却,82.1,48.8,数値確認中,決算後反応未取得 / データ信頼度70未満,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
7,A,信頼度補完,8316.T,三井住友FG,金利上昇・銀行保険,79.9,57.6,数値確認中,決算後反応未取得 / データ信頼度70未満,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
8,A,信頼度補完,6501.T,日立製作所,防衛・安全保障,77.7,53.5,数値確認中,決算後反応未取得 / データ信頼度70未満,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
9,A,信頼度補完,2802.T,味の素,物価高・価格転嫁力,74.7,61.3,数値確認中,決算後反応未取得 / データ信頼度70未満,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
10,A,信頼度補完,4063.T,信越化学工業,ナフサ・原油・化学品,71.9,66,数値確認中,決算後反応未取得 / データ信頼度70未満,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
