updated_at,rank,ticker,company,priority,quantitative_score,integrated_grade,qualitative_themes,current_reason,missing_or_check_data,stop_or_downgrade_rule,next_action
2026/05/27 08:30,1,6762.T,TDK,最優先確認,80.9,A,HBM・先端パッケージ / AI半導体投資 / 円安,量的評価A、質的評価A。AI半導体/HBM周辺と円安感応を確認する価値が最も高い。,20営業日反応、AI/HBM関連の売上・受注・利益率、為替感応度。,20営業日反応が指数劣後、または公式数字でテーマ接続が確認できない場合は第2層へ下げる。,公式決算・PER/PBR/ROE・20営業日反応を先に補完し、6月再判定の中心に置く。
2026/05/27 08:30,2,8316.T,三井住友FG,条件付き確認,80.9,B,金利上昇 / 自社株買い・増配・資本効率,金利上昇と還元テーマに接続。ただし信用コストと日銀後の銀行株反応が条件。,資金利益、信用コスト、自己株式取得/増配、日銀後の金融株反応。,追加確認で下方修正、利益率悪化、指数劣後が出た場合は中心候補から外す。,テーマ接続は維持しつつ、割高感・指数劣後・下方修正の有無を確認する。
2026/05/27 08:30,3,2802.T,味の素,条件付き確認,76.0,B,食品値上げ耐性 / 円高 / 原油・ナフサ下落,食品値上げ耐性と原材料・為替テーマに接続。ただしPERの高さと数量維持を確認。,値上げ後の数量、原材料費、ABF/ヘルスケア成長、PER妥当性。,追加確認で下方修正、利益率悪化、指数劣後が出た場合は中心候補から外す。,テーマ接続は維持しつつ、割高感・指数劣後・下方修正の有無を確認する。
2026/05/27 08:30,4,5020.T,ENEOS HD,比較・観察,72.2,C,原油・中東リスク / 原油・ナフサ下落,原油・中東リスク / 原油・ナフサ下落に接続。ただし統合評価Cのため中心候補には置かない。,量的評価または質的確認が弱いため、補完後または比較対象に留める。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
2026/05/27 08:30,5,6367.T,ダイキン工業,比較・観察,70.3,C,データセンター冷却 / 円安,データセンター冷却 / 円安に接続。ただし統合評価Cのため中心候補には置かない。,量的評価または質的確認が弱いため、補完後または比較対象に留める。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
2026/05/27 08:30,6,6503.T,三菱電機,比較・観察,70.0,C,データセンター電力不足 / データセンター冷却 / 防衛・安全保障 / 人手不足・省人化,データセンター電力不足 / データセンター冷却 / 防衛・安全保障 / 人手不足・省人化に接続。ただし統合評価Cのため中心候補には置かない。,量的評価または質的確認が弱いため、補完後または比較対象に留める。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
2026/05/27 08:30,7,8766.T,東京海上HD,条件付き確認,66.9,B,金利上昇 / 自社株買い・増配・資本効率,金利・保険料率・資本効率テーマに接続。ただし災害損害率と引受利益を確認。,保険引受利益、自然災害損害率、政策保有株売却、金利感応度。,追加確認で下方修正、利益率悪化、指数劣後が出た場合は中心候補から外す。,テーマ接続は維持しつつ、割高感・指数劣後・下方修正の有無を確認する。
2026/05/27 08:30,8,4385.T,メルカリ,比較・観察,65.1,保留,人手不足・省人化 / 国内消費・プラットフォーム,人手不足・省人化 / 国内消費・プラットフォームに接続。ただし統合評価保留のため中心候補には置かない。,不足データを補完して再判定。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
2026/05/27 08:30,9,8306.T,三菱UFJ FG,比較・観察,65.0,C,金利上昇 / 自社株買い・増配・資本効率,金利上昇 / 自社株買い・増配・資本効率に接続。ただし統合評価Cのため中心候補には置かない。,量的評価または質的確認が弱いため、補完後または比較対象に留める。,不足データを補完できない、またはテーマが数字に接続しない場合は比較対象に留める。,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
2026/05/27 08:30,10,6146.T,ディスコ,データ補完,49.0,C,AI半導体投資 / 半導体工程の寡占・高シェア / HBM・先端パッケージ,半導体工程の高シェア仮説は強いが、直近反応が弱いため検算枠に置く。,半導体工程需要、受注/出荷、利益率、SOXや日経半導体株との相対反応。,弱い株価反応の理由を説明できなければ、6月テスト候補へ戻さない。,未取得データを先に埋め、点数化できる状態になるまで購入候補扱いにしない。
