updated_at,file,line,phrase,role,treatment,suggestion,context
2026/05/26 10:24,backtest_validation_20260525.html,113,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,現候補10社 10社
2026/05/26 10:24,backtest_validation_20260525.html,145,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,現候補10社 10社
2026/05/26 10:24,backtest_validation_20260525.html,152,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,候補10社のイベント集計接続 2社
2026/05/26 10:24,backtest_validation_20260525.html,159,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,候補10社の月次株価接続 2社
2026/05/26 10:24,backtest_validation_20260525.html,244,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,3. 現候補10社の過去データ接続
2026/05/26 10:24,backtest_validation_20260525.html,476,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,2 候補10社すべての月次・週次株価を取得する 銘柄ごとの12か月リターン、最大下落率、指数超過を同じ条件で比較するため。
2026/05/26 10:24,backtest_validation_20260525.html,478,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,銘柄ごとの12か月リターン、最大下落率、指数超過を同じ条件で比較するため。 候補10社の月次リターン、日経/TOPIX比較
2026/05/26 10:24,candidate_june_rulebook.html,33,10社候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,目的: 10社候補を、6月の米CPI・日銀・FOMC後に「購入検討へ進む」「小口検討/候補維持」「待機」「除外」に分けるための判定表です。 注意: これは売買指示ではありません。NISA 1年保有テストの候補を選ぶための判断補助で、実行前には証券会社画面・公式IR・最新決算を再確認します。
2026/05/26 10:24,candidate_june_rulebook.html,33,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,目的: 10社候補を、6月の米CPI・日銀・FOMC後に「購入検討へ進む」「小口検討/候補維持」「待機」「除外」に分けるための判定表です。 注意: これは売買指示ではありません。NISA 1年保有テストの候補を選ぶための判断補助で、実行前には証券会社画面・公式IR・最新決算を再確認します。
2026/05/26 10:24,candidate_june_rulebook.html,72,候補銘柄,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,CPI、日銀、FOMC後の市場反応、各銘柄の20営業日決算反応、日経75日線 共通ゲート通過、日経75日線以上または下抜け-1%以内、候補銘柄に下方修正なし 日経75日線-1〜-2%、候補の20営業日反応が未到達、個別材料が未確認
2026/05/26 10:24,candidate_june_rulebook.html,75,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,日経75日線-2%以上、候補の決算後反応35点未満、下方修正または会計リスク 通過銘柄だけを購入検討へ進め、未到達・未確認銘柄は候補維持または待機にする。
2026/05/26 10:24,candidate_june_rulebook.html,130,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 小口検討または候補維持 NISA 64.3 反応 57 信頼度 95 PER 8.36
2026/05/26 10:24,candidate_june_rulebook.html,140,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 小口検討または候補維持 NISA 62.1 反応 41.3 信頼度 92 PER 未取得
2026/05/26 10:24,candidate_june_rulebook.html,150,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 小口検討または候補維持 NISA 60.9 反応 68.7 信頼度 92 PER 未取得
2026/05/26 10:24,candidate_june_rulebook.html,160,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 小口検討または候補維持 NISA 60.7 反応 62.9 信頼度 100 PER 26.7
2026/05/26 10:24,candidate_june_rulebook.html,170,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 候補維持 NISA 55.6 反応 55.1 信頼度 95 PER 26.09
2026/05/26 10:24,candidate_june_rulebook.html,208,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,購入検討へ進む条件あり 候補維持または小口検討 購入検討不可または除外
2026/05/26 10:24,candidate_june_rulebook.html,216,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,購入検討へ進む条件あり 候補維持または小口検討 購入検討不可または除外
2026/05/26 10:24,candidate_june_rulebook.html,224,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,購入検討へ進む条件あり 候補維持または小口検討 購入検討不可または除外
2026/05/26 10:24,candidate_june_rulebook.html,231,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 小口検討または候補維持 候補維持または小口検討
2026/05/26 10:24,candidate_june_rulebook.html,232,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,小口検討または候補維持 候補維持または小口検討 購入検討不可または除外
2026/05/26 10:24,candidate_june_rulebook.html,239,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 小口検討または候補維持 候補維持または小口検討
2026/05/26 10:24,candidate_june_rulebook.html,240,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,小口検討または候補維持 候補維持または小口検討 購入検討不可または除外
2026/05/26 10:24,candidate_june_rulebook.html,247,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 小口検討または候補維持 候補維持または小口検討
2026/05/26 10:24,candidate_june_rulebook.html,248,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,小口検討または候補維持 候補維持または小口検討 購入検討不可または除外
2026/05/26 10:24,candidate_june_rulebook.html,255,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 小口検討または候補維持 候補維持または小口検討
2026/05/26 10:24,candidate_june_rulebook.html,256,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,小口検討または候補維持 候補維持または小口検討 購入検討不可または除外
2026/05/26 10:24,candidate_june_rulebook.html,263,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,残す 候補維持 候補維持または小口検討
2026/05/26 10:24,candidate_june_rulebook.html,264,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,候補維持 候補維持または小口検討 購入検討不可または除外
2026/05/26 10:24,candidate_june_rulebook.html,296,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,したがって、6月イベント後の条件を通っても、期待値が指数+1%を上回る説明ができない銘柄は、購入検討ではなく候補維持または除外にします。
2026/05/26 10:24,event_causality_validation_20260525.html,114,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,314 イベント種類CSV 315 候補別CSV 316 ルールCSV
2026/05/26 10:24,event_causality_validation_20260525.html,143,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,候補10社の複合条件接続 1社
2026/05/26 10:24,event_causality_validation_20260525.html,299,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,2. 候補10社の因果ゲート
2026/05/26 10:24,event_causality_validation_20260525.html,489,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,2 候補10社に複合条件を接続する イベント仮説、業界統計、個別株トレンド、市場地合いを同じ表で見られるようにする。
2026/05/26 10:24,event_causality_validation_20260525.html,491,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,イベント仮説、業界統計、個別株トレンド、市場地合いを同じ表で見られるようにする。 候補別イベント・複合条件チェック表
2026/05/26 10:24,index.html,1481,10社候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,上位20補完再計算 10社候補補充案 予備候補 決算反応
2026/05/26 10:24,index.html,1482,予備候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,10社候補補充案 予備候補 決算反応 6月判定ルール
2026/05/26 10:24,index.html,1497,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,候補表現ロール整理 候補10社データ補完 テンバガー探索
2026/05/26 10:24,index.html,1536,10社候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,上位20補完再計算 10社候補補充案 予備候補 決算反応
2026/05/26 10:24,index.html,1537,予備候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,10社候補補充案 予備候補 決算反応 6月判定ルール
2026/05/26 10:24,index.html,1552,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,候補表現ロール整理 候補10社データ補完 質的×量的 二軸選定
2026/05/26 10:24,index.html,1628,10社候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,最新分析システム入口 10社候補について、公式決算入力、決算後株価反応、反応補正後順位まで確認する入口です。
2026/05/26 10:24,index.html,1944,候補銘柄,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,0円 6/10-6/17 米CPI、日銀、FOMCの結果を確認し、購入可否の前提を整理。 判定 6/18以降 市場環境と候補銘柄の数字を再確認し、NISAテストの実施可否を判断。 再点検 8月中旬 4-6月期決算で、継続・追加・見送りを判断。
2026/05/26 10:24,index.html,2129,追加候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,開始/追加候補 確認・待機
