theme_id,theme_name,positive_keywords,negative_keywords,capital_flow_chain,beneficiary_sectors,candidate_filter,numeric_confirmation,reject_condition,source_priority
AI_DATA_CENTER,AIデータセンター電力・冷却,AI投資／データセンター／GPU／電力不足／冷却／受変電／光ファイバー,金利急騰／投資延期／在庫調整,AI需要増→データセンター増→電力・冷却・電線・半導体装置需要,半導体装置／電線／重電／空調／建設設備,テーマが売上または受注に直結し決算資料で説明可能,SOX／出来高／決算受注／売上成長／利益率／PER,高PERだけが先行し受注や利益率の確認が取れない,企業IR／TDnet／FRED／業界統計
RATE_BANK,金利上昇・銀行保険,利上げ／日銀正常化／長期金利／利ざや／PBR改善／増配,信用コスト悪化／景気後退／急な円高,インフレ・金利上昇→利ざや改善期待→銀行・保険へ資金流入,銀行／保険／証券,金利上昇が収益に効き信用コストが過度に悪化していない,米10年金利／日銀会合／銀行ETF／決算進捗／自己資本,景気悪化を伴う金利上昇で与信費用が増える,日銀／FRED／決算短信／TDnet
YEN_RESOURCE,円安・資源・商社,円安／ドル高／資源価格／LNG／原油／株主還元／自社株買い,円高急進／資源価格急落／在庫評価損,円安・資源高→海外利益円換算増→商社・資源関連の利益と還元期待,商社／資源／エネルギー／外需,海外利益比率や資源価格感応度が説明できる,ドル円／原油／営業利益／配当／自社株買い／PER,円高反転または資源市況悪化で利益感応度が逆回転,企業IR／FRED／Yahoo Finance／TDnet
NAPHTHA_CHEM,ナフサ・原油・化学品,ナフサ／原油／素材価格／化学品／価格転嫁／在庫,粗利率悪化／需要減／値上げ失敗,原料価格変動→価格転嫁力の差→化学・素材企業の利益格差,化学／素材／石油元売り／商社,原料高を売上増ではなく利益率で確認できる,原油／PPI／売上総利益率／営業利益率／在庫／製品市況,原料高を転嫁できず利益率が落ちる,経産省／貿易統計／企業IR／FRED
PRICE_PASS,物価高・価格転嫁力,CPI／PPI／値上げ／ブランド力／海外販売／生活必需品,数量減／値下げ／消費悪化,物価高→値上げ可否の差→利益率を維持できる企業へ評価,食品／日用品／医薬品／通信,値上げ後も数量や利益率が崩れていない,CPI／PPI／売上成長／営業利益率／数量コメント／PER,売上増でも利益率や数量が落ちる,企業IR／統計局／FRED／決算説明資料
DEFENSE_POLICY,防衛・安全保障,防衛費／安全保障／ミサイル／航空機／艦船／サイバー,受注遅延／政策縮小／採算悪化,地政学リスク→防衛予算→重工・電子部品・通信システム需要,重工／防衛電子／通信／素材,国策テーマが受注残または売上に反映されている,防衛予算／受注残／売上成長／利益率／PER,ニュース先行で受注や利益の確認が取れない,政府資料／企業IR／TDnet
DISASTER_INFRA,災害復旧・インフラ強靭化,地震／豪雨／防災／復旧／インフラ老朽化／電力網,保険損失／資材高／工期遅延,災害・老朽化→復旧・補修需要→建設・通信・電力設備需要,建設／通信インフラ／電力設備／測量,需要増が受注・売上に継続して反映される,公共投資／受注残／建設統計／株価反応／出来高,一時的な思惑だけで業績に結び付かない,政府資料／業界統計／企業IR
HEALTHCARE_POLICY,医薬・ヘルスケア政策,承認／治験／薬価／新薬／高齢化／海外販売,薬価改定／治験失敗／主力薬依存,高齢化・新薬承認→医薬品売上期待→利益成長・研究開発評価,医薬品／医療機器／ヘルスケア,主力品だけでなくパイプラインと薬価リスクを確認できる,承認情報／売上成長／営業利益率／研究開発／PER,試験失敗や下方修正がある,企業IR／PMDA／TDnet
INBOUND_CONSUMPTION,インバウンド・消費回復,訪日客／免税／ホテル／旅行／外食／百貨店,円高／感染症／消費失速,訪日需要増→宿泊・小売・外食売上増→消費関連株反応,小売／旅行／外食／鉄道／ホテル,訪日客数と企業売上の連動が確認できる,訪日客数／月次売上／営業利益率／株価反応,人件費や原価で利益が伸びない,観光庁／企業月次／決算資料
IPO_LISTING_EVENT,上場・IPO・再編イベント,IPO／上場承認／スピンオフ／TOB／M&A／親子上場解消,公募割れ／希薄化／TOB不成立,資本市場イベント→需給変化→関連銘柄・親会社・同業比較へ波及,IPO関連／親子上場／再編対象／証券,イベントが株主価値にどう効くか説明できる,開示日／価格条件／出来高／イベント後リターン,需給だけで業績根拠がない,東証／TDnet／企業IR
