作成,銘柄,現在の扱い,質的テーマ,確認項目,残す条件,保留条件,外す条件,運用メモ
2026/05/27 15:25,8316.T 三井住友FG,中心確認,銀行・金利上昇,日銀後の銀行株反応、利ざや期待、信用コスト、TOPIX銀行指数,日銀後に銀行株全体が崩れず、決算後20営業日反応が指数比で悪化しない,銀行株は強いが、信用コストや金利期待に不透明さが残る,日銀後に銀行株全体が急落、または信用コスト悪化が確認される,銀行枠の中心候補。三菱UFJと重複する場合は優位な方を残す。
2026/05/27 15:25,6762.T TDK,中心確認,電子部品・AIサーバー周辺,SOX、NASDAQ、AIサーバー需要、HDD/電源周辺部材、決算後20営業日反応,SOX/NASDAQが大崩れせず、電子部品同業比で過熱が限定的,AIテーマは維持だが、米金利上昇や半導体指数の下落が残る,SOX急落、AIテーマ失速、決算後反応の指数劣後が続く,半導体そのものより周辺部材として確認。過熱時は追わず、6月後の反応で判断。
2026/05/27 15:25,8053.T 住友商事,中心確認,商社・資源・株主還元,資源価格、為替、商社株全体、還元姿勢、決算後反応,商社内で割高感が強くなく、株主還元と決算後反応が維持される,商社全体は維持だが、資源価格・為替が不安定,資源価格急落、還元姿勢の後退、商社株全体の指数劣後,成長率は弱いため、還元・安定性・相対割安の説明が成立する場合のみ残す。
2026/05/27 15:25,2802.T 味の素,条件付き中心,食品・ABF・ヘルスケア,同業PER/PBR差、ABF・ヘルスケア成長、原材料、為替、決算後反応,高PERを利益成長、ABF/ヘルスケア、決算後反応で説明できる,決算後反応は悪くないが、食品同業比の割高さが説明しきれない,利益成長鈍化、原材料悪化、同業比割高の説明不足、指数劣後,食品安定枠ではなく高PER成長枠として扱う。説明条件を満たさなければ保留。
2026/05/27 15:25,8306.T 三菱UFJ FG,補欠比較,銀行・金利上昇,三井住友FGとの比較、同業PER、日銀後の銀行株反応、信用コスト,三井住友FGより明確な優位があり、銀行枠を複数持つ理由がある,銀行テーマは有効だが、三井住友FGとの差が説明しきれない,銀行株全体が悪化、または三井住友FGの方が明確に優位,銀行枠の重複回避。候補数を絞る局面では補欠扱い。
2026/05/27 15:25,7173.T 東京きらぼしFG,監視,地銀・金利上昇,地銀株反応、出来高、決算後20営業日反応、信用コスト,割安さに加え、決算後反応と出来高が改善する,割安だが、株価反応が弱いまま,地銀株全体の反応悪化、出来高不足、決算後反応の弱さ継続,PER/PBRだけで候補化しない。反応改善が確認できるまで監視。
2026/05/27 15:25,9984.T ソフトバンクG,別評価監視,AI投資・保有資産,NAV、Arm、AI関連株、米金利、1年上昇率の過熱、保有資産の下落耐性,NAV型評価で割高説明ができ、AI関連株の下落が限定的,AIテーマは強いが、過熱と米金利リスクが残る,AI関連株急落、米金利急騰、保有資産評価の悪化,PER比較に混ぜない。別枠で監視し、初回候補には慎重に扱う。
2026/05/27 15:25,7735.T SCREEN HD,監視,半導体製造装置,SOX、受注、利益成長、東京エレクトロン比較、決算後20営業日反応,低PERの理由が業績悪化ではなく、次期見通しや受注で改善が見える,半導体テーマはあるが、利益成長マイナスが残る,利益成長の悪化継続、SOX下落、決算後反応の指数劣後,低PERだけで候補化しない。利益成長と20営業日反応を確認。
2026/05/27 15:25,6146.T ディスコ,反応検算,半導体工程・高シェア技術,PER/PBR高、受注、利益率、SOX、決算後20営業日反応,高PER/PBRを受注・利益率・反応で説明できる,構造テーマは強いが、価格反応や過熱警戒が残る,高PERを説明できず、20営業日反応も弱い,質的優位だけで中心候補にしない。反応検算を通過してから再評価。
2026/05/27 15:25,7011.T 三菱重工業,反応検算,防衛・重工・発電,防衛受注、発電需要、重工同業比較、200日線、60日最大下落,直近下落が改善し、200日線と出来高が回復する,テーマは残るが、下落率と同業比PERの高さが残る,下落継続、200日線割れ、重工同業比の割高さが説明できない,テーマ性は強いが、価格面の確認が先。初回候補には慎重。
