順位,コード,銘柄,テーマ群,役割,質的仮説,扱い,実用スコア,4項目平均,信頼度,充足項目,既存選定,長期安定,S&P比較,下落耐性,価格日,終値,5年CAGR,10年CAGR,1年騰落,60日騰落,5年S&P差,1年S&P差,5年最大下落,1年最大下落,1年ボラ,月次勝率,PER,PBR,ROE,売上前年比,利益前年比,注意点,メモ,データ元
1,5803.T,フジクラ,データセンター・電力・冷却・電線,光配線・高速ケーブル,A,監視,69.4,69.4,100,4/4,68,93,97.4,19.3,2026-05-29,4700,132.4,50.3,314.9,-0.3,119.9,286.5,-50.7,-45.3,72.6,66.7,48.5,13.5,32.5,20.7,39.2,1年急騰 / 5年最大下落が深い / 1年最大下落が深い,AIデータセンター向け光接続の中心候補。直近急騰の反動確認が必須。,Yahoo chart取得; 199_universe100_screening.csv
2,5801.T,古河電工,データセンター・電力・冷却・電線,光ファイバー・電力・放熱,A,監視,68.1,68.1,100,4/4,68,66.7,97.4,40.4,2026-05-29,50040,80.6,37.2,622.5,69,68.1,594.1,-52.1,-19.5,77.4,58.3,43,8.5,19.1,8.8,35.6,1年急騰 / 60日急騰 / 5年最大下落が深い,データ通信・電力・放熱のテーマ接続が強い。過熱確認が最重要。,Yahoo chart取得; 199_universe100_screening.csv
3,5802.T,住友電工,データセンター・電力・冷却・電線,光ファイバー・電力ケーブル,A,監視,67.1,67.1,100,4/4,64,63.2,81.6,59.6,2026-05-29,12155,53.5,26.5,308,13.1,41.1,279.6,-41.4,-22,59,61.7,26,3,14.7,9.2,30.4,1年急騰,光通信と電力ケーブルの両面。急騰後の押し目確認が必要。,Yahoo chart取得; 199_universe100_screening.csv
4,1942.T,関電工,データセンター・電力・冷却・電線,電気設備工事,B,監視,66.5,73.4,53,3/4,,70.2,60.5,89.5,2026-05-29,6563,53.2,26.2,124.9,-3.5,40.7,96.5,-18.9,-18.8,37.9,73.3,,,,,,PER/PBR/ROE補完必要,受変電・電気設備工事。データセンター案件比率の確認が必要。,Yahoo chart取得; 199_universe100_screening.csv
5,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・インフラ,B,データ補完,57.9,57.9,100,4/4,50,75.4,44.7,61.4,2026-05-29,3770,65.7,27,15,-27.2,53.2,-13.5,-35.8,-27.2,42.1,63.3,34.7,4.3,12.2,-1.1,26.7,1年最大下落が深い,電力・冷却・インフラ接点はあるが、防衛・航空など他要因も大きい。,Yahoo chart取得; 199_universe100_screening.csv
6,6857.T,アドバンテスト,半導体製造装置・材料,半導体テスター,A,データ補完,56.7,56.7,100,4/4,60,56.1,78.9,31.6,2026-05-29,25700,61.2,57.8,237.4,-0.3,48.7,208.9,-51.4,-28.9,65.3,50,42,24.6,57.7,44.7,118.8,1年急騰 / 5年最大下落が深い / 1年最大下落が深い,AI/HPC向け検査需要と接続。高ボラティリティと決算期待の反動を確認。,Yahoo chart取得; 199_universe100_screening.csv
7,6503.T,三菱電機,データセンター・電力・冷却・電線,電力機器・冷却・FA,A,データ補完,55.7,55.7,100,4/4,58,33.3,42.1,89.5,2026-05-29,6489,33.7,20,123.1,8.9,21.3,94.7,-34,-16.3,35.8,61.7,26.1,2.8,9.7,6.8,10.5,,電力機器、FA、光デバイス、冷却で複数接点。直近調整後の確認価値あり。,Yahoo chart取得; 199_universe100_screening.csv
8,4186.T,東京応化工業,半導体製造装置・材料,フォトレジスト,A,データ補完,54.6,60.2,53,3/4,,54.4,63.2,63.2,2026-05-29,10840,39.6,30.5,194,12.5,27.1,165.6,-44.4,-23.5,48.9,60,,,,,,1年急騰 / PER/PBR/ROE補完必要,露光材料。先端半導体との接続は強いが、材料寄与度の確認が必要。,Yahoo chart取得; 199_universe100_screening.csv
9,6501.T,日立製作所,データセンター・電力・冷却・電線,送配電・電力制御,A,データ補完,52.9,52.9,100,4/4,53,56.1,28.9,73.7,2026-05-29,5258,37.8,28.9,30.3,4.3,25.3,1.9,-38.7,-22.8,40.3,61.7,26.8,3.5,12.9,8.2,24.6,,電力網・変圧器・デジタル基盤。大型でテーマの持続性を確認しやすい。,Yahoo chart取得; 199_universe100_screening.csv
10,6146.T,ディスコ,半導体製造装置・材料,切断・研削,A,データ補完,52.7,53.6,92,4/4,60,73.7,47.4,33.3,2026-05-29,64270,44,36.4,86.1,-13.7,31.5,57.6,-65.2,-24.7,58.7,63.3,,12.3,25.2,11.1,10.9,5年最大下落が深い / PER/PBR/ROE補完必要,薄化、ダイシング、先端パッケージで構造需要。ただし値動きが大きい。,Yahoo chart取得; 199_universe100_screening.csv
11,6525.T,KOKUSAI ELECTRIC,半導体製造装置・材料,成膜・熱処理,A,データ補完,52.2,57.6,53,3/4,,87.7,76.3,8.8,2026-05-29,8199,63.3,63.3,166.7,30.2,50.9,138.3,-69.9,-33.9,70.3,62.5,,,,,,上場/取得期間が短い / 1年急騰 / 60日急騰 / 5年最大下落が深い / 1年最大下落が深い / PER/PBR/ROE補完必要,前工程の成膜・熱処理。上場期間が短いため長期検証は不足。,Yahoo chart取得; 199_universe100_screening.csv
12,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,A,保留,48,48.8,92,4/4,60,61.4,36.8,36.8,2026-05-29,52300,29.6,38.3,120.8,21.3,17.1,92.3,-55.8,-28.8,49.8,61.7,,10.8,29.6,0.5,-10.4,5年最大下落が深い / 1年最大下落が深い / PER/PBR/ROE補完必要,前工程装置の中核。AI半導体投資の恩恵を受けやすいが、半導体サイクルと高PER確認が必要。,Yahoo chart取得; 199_universe100_screening.csv
13,1969.T,高砂熱学工業,データセンター・電力・冷却・電線,空調設備工事,A,保留,47.2,52,53,3/4,,47.4,36.8,71.9,2026-05-29,4654,43.3,24.4,44.1,-10.3,30.8,15.7,-29.6,-25.6,38.4,61.7,,,,,,1年最大下落が深い / PER/PBR/ROE補完必要,データセンター空調・設備工事。受注と利益率の確認が必要。,Yahoo chart取得; 199_universe100_screening.csv
14,7735.T,SCREEN HD,半導体製造装置・材料,洗浄装置,A,保留,44.8,44.8,100,4/4,66,29.8,39.5,43.9,2026-05-29,10940,36.6,25.6,108.4,-0.7,24.1,80,-59.1,-23.8,52.4,51.7,18.6,4.2,20.3,-3.1,-9.7,5年最大下落が深い,微細化で洗浄工程の重要性が高い。受注と半導体市況を確認。,Yahoo chart取得; 199_universe100_screening.csv
