generated_at,explanation_rank,ticker,company,sector,test_priority_class,test_priority_score,quant_score,qualitative_score,data_confidence,operation_decision,selection_reason,qualitative_theme,main_risk,june_condition,remaining_input,presentation_line
2026/05/27 10:37,1,2802.T,味の素,食品,第1候補群,75.9,67.8,71.9,95,6月再判定候補,量的スコアと質的確認の両方が相対的に高い。量的67.8点、質的71.9点、信頼度95点。,食品値上げ耐性 / 円高 / 原油・ナフサ下落,割高感、原材料費、数量減、6月イベント後の市場全体悪化を確認する。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,味の素は現時点で最も説明しやすい第1候補群です。ただし、6月イベント後の再判定が前提です。
2026/05/27 10:37,2,6762.T,TDK,電子部品,第2候補群,67.9,60.7,72.6,100,比較継続,質的テーマとの接続は強いが、量的スコアは第1候補群より低い。量的60.7点、質的72.6点、信頼度100点。,AI半導体投資 / HBM・先端パッケージ,半導体・AIテーマは強いが、PER/PBR、金利、SOX指数下落時の耐性確認が必要。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,TDKは時流テーマとの接続があり、数字の追加確認後に候補上位へ残すか判断します。
2026/05/27 10:37,3,6146.T,ディスコ,半導体装置,第2候補群,66.8,60.9,72.6,92,比較継続,質的テーマとの接続は強いが、量的スコアは第1候補群より低い。量的60.9点、質的72.6点、信頼度92点。,AI半導体投資 / HBM・先端パッケージ,半導体・AIテーマは強いが、PER/PBR、金利、SOX指数下落時の耐性確認が必要。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,ディスコは時流テーマとの接続があり、数字の追加確認後に候補上位へ残すか判断します。
2026/05/27 10:37,4,4385.T,メルカリ,ネット,補欠候補,56.9,79.8,50,87,保留,一部スコアは高いが、質的材料または反応確認が不足。量的79.8点、質的50点、信頼度87点。,未接続,スコアの一部が高くても、質的イベント接続または反応確認が弱い。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,メルカリは一部指標が強いものの、現時点では補欠として追加確認します。
2026/05/27 10:37,5,9984.T,ソフトバンクG,投資/AI,補欠候補,55.6,66.9,50,92,反応再確認,一部スコアは高いが、質的材料または反応確認が不足。量的66.9点、質的50点、信頼度92点。,未接続,決算後反応が弱い、または確認が未到達のため、20営業日反応を見る。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,ソフトバンクGは一部指標が強いものの、現時点では補欠として追加確認します。
2026/05/27 10:37,6,7012.T,川崎重工業,重工/防衛,監視のみ,52.9,59.9,50,100,反応再確認,現時点では購入可否判定へ進む根拠が足りない。量的59.9点、質的50点、信頼度100点。,未接続,決算後反応が弱い、または確認が未到達のため、20営業日反応を見る。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,川崎重工業は現時点では監視中心です。条件改善が出るまで購入可否判定へ進めません。
2026/05/27 10:37,7,8316.T,三井住友FG,銀行,監視のみ,50.5,65.1,62,95,警戒,現時点では購入可否判定へ進む根拠が足りない。量的65.1点、質的62点、信頼度95点。,金利上昇 / 自社株買い・増配・資本効率 / バフェット・バークシャー売買監視,質的イベントに警戒条件があるため、指数反応と追加ニュースを優先確認する。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,三井住友FGは現時点では監視中心です。条件改善が出るまで購入可否判定へ進めません。
2026/05/27 10:37,8,5020.T,ENEOS HD,エネルギー,監視のみ,50,64.3,62,95,警戒,現時点では購入可否判定へ進む根拠が足りない。量的64.3点、質的62点、信頼度95点。,バフェット・バークシャー売買監視 / 原油・中東リスク,質的イベントに警戒条件があるため、指数反応と追加ニュースを優先確認する。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,ENEOS HDは現時点では監視中心です。条件改善が出るまで購入可否判定へ進めません。
2026/05/27 10:37,9,6503.T,三菱電機,総合電機,監視のみ,48.8,55.6,69.6,95,保留,現時点では購入可否判定へ進む根拠が足りない。量的55.6点、質的69.6点、信頼度95点。,データセンター電力不足 / データセンター冷却,監視対象として記録し、条件改善時だけ再計算する。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,三菱電機は現時点では監視中心です。条件改善が出るまで購入可否判定へ進めません。
2026/05/27 10:37,10,8306.T,三菱UFJ FG,銀行,監視のみ,48.4,62.1,62,92,警戒,現時点では購入可否判定へ進む根拠が足りない。量的62.1点、質的62点、信頼度92点。,金利上昇 / 自社株買い・増配・資本効率 / バフェット・バークシャー売買監視,質的イベントに警戒条件があるため、指数反応と追加ニュースを優先確認する。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,三菱UFJ FGは現時点では監視中心です。条件改善が出るまで購入可否判定へ進めません。
2026/05/27 10:37,11,6501.T,日立製作所,総合電機,監視のみ,46.9,59.3,50,95,保留,現時点では購入可否判定へ進む根拠が足りない。量的59.3点、質的50点、信頼度95点。,未接続,監視対象として記録し、条件改善時だけ再計算する。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,日立製作所は現時点では監視中心です。条件改善が出るまで購入可否判定へ進めません。
2026/05/27 10:37,12,8002.T,丸紅,商社,監視のみ,43.4,53,50,95,保留,現時点では購入可否判定へ進む根拠が足りない。量的53点、質的50点、信頼度95点。,未接続,監視対象として記録し、条件改善時だけ再計算する。,CPI、日銀、FOMC、米10年金利、為替、日経平均75日線、決算後20営業日反応を確認,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標,丸紅は現時点では監視中心です。条件改善が出るまで購入可否判定へ進めません。
