rank,theme_id,ticker,company,theme_name,material_strength,capital_chain_score,company_fit,source_reliability,qualitative_score,score_formula,purchase_score_status,next_gate
1,AI_DATA_CENTER,5801.T,古河電工,AIデータセンター電力・冷却,82,90,86,70,83.6,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,PER/PBR/ROE・受注・1年過熱確認
2,AI_DATA_CENTER,5802.T,住友電工,AIデータセンター電力・冷却,82,90,84,70,83.1,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,PER/PBR/ROE・受注・利益率
3,AI_DATA_CENTER,6501.T,日立製作所,AIデータセンター電力・冷却,82,90,82,70,82.6,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,受注・セグメント利益・PER
4,AI_DATA_CENTER,6503.T,三菱電機,AIデータセンター電力・冷却,82,90,80,70,82.1,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,受注・営業利益率・株価反応
5,AI_DATA_CENTER,6146.T,ディスコ,AIデータセンター電力・冷却,82,90,78,70,81.6,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,決算後反応・PER・下落耐性
6,AI_DATA_CENTER,8035.T,東京エレクトロン,AIデータセンター電力・冷却,82,90,76,70,81.1,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,受注・PER・SOX連動
7,DEFENSE_POLICY,7011.T,三菱重工業,防衛・安全保障,78,86,84,70,80.7,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,受注残・採算・PER過熱
8,RATE_BANK,8306.T,三菱UFJ FG,金利上昇・銀行保険,74,84,82,80,79.9,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,信用コスト・自己資本・日銀イベント
9,RATE_BANK,8316.T,三井住友FG,金利上昇・銀行保険,74,84,82,80,79.9,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,信用コスト・自己資本・配当
10,DEFENSE_POLICY,7012.T,川崎重工業,防衛・安全保障,78,86,79,70,79.5,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,受注残・利益率・決算反応
11,RATE_BANK,8766.T,東京海上HD,金利上昇・銀行保険,74,84,78,80,78.9,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,自然災害損失・PER・ROE
12,DEFENSE_POLICY,6501.T,日立製作所,防衛・安全保障,78,86,72,70,77.7,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,受注・セグメント利益
13,YEN_RESOURCE,8058.T,三菱商事,円安・資源・商社,70,82,82,75,77.4,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,資源価格感応度・自社株買い・PER
14,YEN_RESOURCE,8001.T,伊藤忠商事,円安・資源・商社,70,82,79,75,76.6,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,セグメント利益・配当・PER
15,YEN_RESOURCE,8031.T,三井物産,円安・資源・商社,70,82,77,75,76.1,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,資源依存度・原油金属価格・PER
16,PRICE_PASS,2802.T,味の素,物価高・価格転嫁力,72,76,76,75,74.7,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,数量・利益率・PER高止まり
17,PRICE_PASS,2801.T,キッコーマン,物価高・価格転嫁力,72,76,74,75,74.2,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,海外売上・数量・PER
18,PRICE_PASS,4452.T,花王,物価高・価格転嫁力,72,76,70,75,73.2,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,営業利益率・数量・原材料費
19,NAPHTHA_CHEM,4063.T,信越化学工業,ナフサ・原油・化学品,68,74,78,65,71.9,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,製品市況・営業利益率・PER
20,HEALTHCARE_POLICY,4519.T,中外製薬,医薬・ヘルスケア政策,64,72,76,75,71.1,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,薬価・パイプライン・PER
21,NAPHTHA_CHEM,5020.T,ENEOS,ナフサ・原油・化学品,68,74,72,65,70.4,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,在庫影響・原油価格・還元
22,NAPHTHA_CHEM,4188.T,三菱ケミカルG,ナフサ・原油・化学品,68,74,70,65,69.9,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,粗利率・構造改革・財務
23,DISASTER_INFRA,1802.T,大林組,災害復旧・インフラ強靭化,66,70,70,65,68.1,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,受注残・資材費・利益率
24,DISASTER_INFRA,9433.T,KDDI,災害復旧・インフラ強靭化,66,70,68,65,67.6,材料強度30%+資金流入連鎖30%+企業適合25%+証拠信頼度15%,購入スコアではない,配当・通信料金・成長鈍化
