updated_at,ticker,company,category,check_1_market,check_2_macro,check_3_company,check_4_price,action
2026/05/24 16:18,6146.T,ディスコ,残す,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,公式決算の下方修正なし。決算後反応の悪化なし。,対象銘柄が直近高値から極端に離れていない。短期急騰後は追わない。,購入検討は6月イベント確認後。日経平均が75日線以上、対象銘柄が直近高値から-15%以内、決算後5日超過がマイナス拡大しない場合のみ。
2026/05/24 16:18,5801.T,古河電工,保留,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,保留/落とす理由が解消するまで購入不可。,急落しても理由未確認なら拾わない。,購入しない。20営業日反応、過熱、特殊業態、金利イベントのいずれかが改善した場合だけ再判定。
2026/05/24 16:18,6857.T,アドバンテスト,保留,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,保留/落とす理由が解消するまで購入不可。,急落しても理由未確認なら拾わない。,購入しない。20営業日反応、過熱、特殊業態、金利イベントのいずれかが改善した場合だけ再判定。
2026/05/24 16:18,9984.T,ソフトバンクG,保留,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,保留/落とす理由が解消するまで購入不可。,急落しても理由未確認なら拾わない。,購入しない。20営業日反応、過熱、特殊業態、金利イベントのいずれかが改善した場合だけ再判定。
2026/05/24 16:18,6762.T,TDK,残す,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,公式決算の下方修正なし。決算後反応の悪化なし。,対象銘柄が直近高値から極端に離れていない。短期急騰後は追わない。,購入検討は6月イベント確認後。日経平均が75日線以上、対象銘柄が直近高値から-15%以内、決算後5日超過がマイナス拡大しない場合のみ。
2026/05/24 16:18,7012.T,川崎重工業,保留,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,保留/落とす理由が解消するまで購入不可。,急落しても理由未確認なら拾わない。,購入しない。20営業日反応、過熱、特殊業態、金利イベントのいずれかが改善した場合だけ再判定。
2026/05/24 16:18,8306.T,三菱UFJ FG,保留,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,保留/落とす理由が解消するまで購入不可。,急落しても理由未確認なら拾わない。,購入しない。20営業日反応、過熱、特殊業態、金利イベントのいずれかが改善した場合だけ再判定。
2026/05/24 16:18,5802.T,住友電工,落とす,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,保留/落とす理由が解消するまで購入不可。,急落しても理由未確認なら拾わない。,購入しない。次回決算または明確な改善データが出るまで監視のみ。
2026/05/24 16:18,5803.T,フジクラ,落とす,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,保留/落とす理由が解消するまで購入不可。,急落しても理由未確認なら拾わない。,購入しない。次回決算または明確な改善データが出るまで監視のみ。
2026/05/24 16:18,6920.T,レーザーテック,落とす,日経平均75日線以上。日経平均が高値から-10%以上なら予定購入は延期。,米CPI再加速なし、FOMC後の米10年金利急騰なし、日銀後の急な円高なし。,保留/落とす理由が解消するまで購入不可。,急落しても理由未確認なら拾わない。,購入しない。次回決算または明確な改善データが出るまで監視のみ。
