updated_at,draft_rank,ticker,company,sector,work_status,draft_grade,draft_score,role_from_gate,quantitative_grade,data_confidence,nisa_score_reference,reaction_layer,reaction_note,qualitative_treatment,sector_adjustment_status,score_formula,evidence_summary,remaining_issue,treatment
2026/05/26 22:26,1,6762.T,TDK,電子部品,説明優先,S,80.9,優先候補,A,100,60.7,暫定A,5日 対日経 5.5%、20営業日待ち,補助仮説,補正参考可,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価A、信頼度100、PER 26.7、ROE 9.81%、売上成長13.6%、利益成長21.5%、決算後反応 5日 対日経 5.5%、20営業日待ち、同業比較は使用可,不足: イベント因果未完了,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,2,8316.T,三井住友FG,銀行,説明優先,S,80.9,優先候補,B,95,65.1,暫定A,5日 対日経 5.99%、20営業日待ち,補助仮説,補正参考可,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価B、信頼度95、PER 13.61、ROE 10.38%、売上成長6.1%、利益成長34%、決算後反応 5日 対日経 5.99%、20営業日待ち、同業比較は使用可,不足: 決算後反応未完了または未到達 / イベント因果未完了,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,3,2802.T,味の素,食品,説明優先,A,76.0,優先候補,B,95,67.8,暫定A,5日 対日経 12.07%、20営業日待ち,補助仮説,未反映,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価B、信頼度95、PER 43.73、ROE 17.75%、売上成長3.5%、利益成長75%、決算後反応 5日 対日経 12.07%、20営業日待ち、同業比較は未接続,不足: 決算後反応未完了または未到達 / 業種別補正未完了 / 業種別補正:接続不可 同業比較は未接続: 同業2社、PER 0件、PBR 0件、ROE 0件で基準未満。,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,4,5020.T,ENEOS HD,エネルギー,比較維持,B,72.2,比較候補,C,95,64.3,暫定B,5日 対日経 0.94%、20営業日待ち,補助仮説,未反映,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価C、信頼度95、PER 8.36、ROE 8.00%、売上成長-4.5%、利益成長339.8%、決算後反応 5日 対日経 0.94%、20営業日待ち、同業比較は未接続,不足: 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 業種別補正:接続不可 同業比較は未接続: 同業3社、PER 0件、PBR 0件、ROE 0件で基準未満。,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,5,6367.T,ダイキン工業,空調,比較維持,B,70.3,比較候補,C,100,52.6,暫定B,5日 対日経 1.92%、20営業日待ち,補助仮説,未反映,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価C、信頼度100、PER 24.97、ROE 9.1%、売上成長5.5%、利益成長3.3%、決算後反応 5日 対日経 1.92%、20営業日待ち、同業比較は未接続,不足: 決算後反応未完了または未到達 / イベント因果未完了 同業比較は未接続: 同業1社、PER 1件、PBR 1件、ROE 1件で基準未満。,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,6,6503.T,三菱電機,総合電機,比較維持,B,70.0,比較候補,C,95,55.6,暫定B,5日 対日経 1.9%、20営業日待ち,補助仮説,未反映,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価C、信頼度95、PER 26.09、ROE 9.67%、売上成長6.8%、利益成長10.5%、決算後反応 5日 対日経 1.9%、20営業日待ち、同業比較は未接続,不足: 決算後反応未完了または未到達 / イベント因果未完了 同業比較は未接続: 同業2社、PER 2件、PBR 2件、ROE 2件で基準未満。,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,7,8766.T,東京海上HD,保険,反応更新待ち,B,66.9,反応待ち,B,100,65.4,1日暫定,1日 対日経 -4.68%、5日/20営業日待ち,補助仮説,補正参考可,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価B、信頼度100、PER 17.61、ROE 18.68%、売上成長5.1%、利益成長-7.6%、決算後反応 1日 対日経 -4.68%、5日/20営業日待ち、同業比較は使用可,1日反応のみのため、5営業日と20営業日を待つ。 不足: 決算後反応未完了または未到達 / イベント因果未完了,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,8,4385.T,メルカリ,ネット,補完後に再判定,B,65.1,補完対象,保留,87,79.8,暫定A,5日 対日経 7.3%、20営業日待ち,補助仮説,未反映,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価保留、信頼度87、PER 34.53（公式3Q累計EPS + 既存株価CSV）、ROE 30.52%、売上成長2.8%、利益成長59.2%、決算後反応 5日 対日経 7.3%、20営業日待ち、同業比較は未接続,PERまたは財務指標の不足を解消するまで順位を固定しない。 不足: 財務指標未完了 / 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:接続不可 / PER:既存CSV内では未発見 同業比較は未接続: 同業2社、PER 1件、PBR 0件、ROE 0件で基準未満。,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,9,8306.T,三菱UFJ FG,銀行,補完後に再判定,B,65.0,補完対象,C,92,62.1,暫定B,5日 対日経 2.39%、20営業日待ち,補助仮説,補正参考可,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価C、信頼度92、PER 17（公式EPS + 既存株価CSV）、ROE 11.34%、売上成長7.3%、利益成長27.7%、決算後反応 5日 対日経 2.39%、20営業日待ち、同業比較は使用可,PERまたは財務指標の不足を解消するまで順位を固定しない。 不足: 財務指標未完了 / 業種別補正未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見,テスト対象選定の作業順位。投資実行判断ではない。
2026/05/26 22:26,10,6146.T,ディスコ,半導体装置,検算優先,C,49.0,検算対象,C,92,60.9,D 実績弱い,20営業日 対日経 -19.66%,補助仮説,補正参考可,信頼度22% + データ準備18% + NISA参照25% + 決算後反応25% + 同業比較10% - ハード減点,量的評価C、信頼度92、PER 61.44（公式EPS + 既存株価CSV）、ROE 25.15%、売上成長11.1%、利益成長10.9%、決算後反応 20営業日 対日経 -19.66%、同業比較は使用可,実績反応が弱いため、構造仮説をそのまま採用しない。 不足: 財務指標未完了 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見,テスト対象選定の作業順位。投資実行判断ではない。
