updated_at,selection_rank,ticker,company,current_role,quantitative_grade,qualitative_status,numeric_basis,qualitative_basis,selection_basis,unfinished_items,tomorrow_check,june_gate_condition,current_decision
2026/05/26 19:01,1,6762.T,TDK,最初に確認,A,仮説のみ 3件・未加点,PER 26.7、PBR 2.75、ROE 9.81%、売上成長 13.6%、利益成長 21.5%,AIサーバー需要 / 為替・海外売上 / 電池・磁性材料,現時点の10社内で量的評価が最も高く、データ信頼度も高いため、最初に確認する候補です。,イベント因果未完了,質的仮説に対応するイベント日と株価反応を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,2,2802.T,味の素,補完後に確認,B,仮説のみ 3件・未加点,PER 43.73、PBR 6.81、ROE 17.75%、売上成長 3.5%、利益成長 75%,食品値上げ耐性 / ABF・ヘルスケア / 円安・原材料,量的条件は候補として確認する価値がありますが、決算後反応、同業比較、イベント因果のいずれかを補ってから判断します。,決算後反応未完了または未到達 / 業種別補正未完了,同業2社以上のPER/PBR/ROE中央値を確認 / 決算後1日、5日、20日の対ベンチマーク超過リターンを確認,6月のCPI、FOMC、日銀後の市場環境を確認 / 同業比較が成立しない場合は割安判断を保留,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,3,8766.T,東京海上HD,補完後に確認,B,仮説のみ 3件・未加点,PER 17.61、PBR 2.7、ROE 18.68%、売上成長 5.1%、利益成長 -7.6%,保険料率・金利 / 自然災害・損害率 / 政策保有株売却,量的条件は候補として確認する価値がありますが、決算後反応、同業比較、イベント因果のいずれかを補ってから判断します。,決算後反応未完了または未到達 / イベント因果未完了,決算後1日、5日、20日の対ベンチマーク超過リターンを確認 / 質的仮説に対応するイベント日と株価反応を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,4,8316.T,三井住友FG,補完後に確認,B,仮説のみ 3件・未加点,PER 13.61、PBR 1.47、ROE 10.38%、売上成長 6.1%、利益成長 34%,日銀・金利 / 信用コスト / 海外金利・為替,量的条件は候補として確認する価値がありますが、決算後反応、同業比較、イベント因果のいずれかを補ってから判断します。,決算後反応未完了または未到達 / イベント因果未完了,決算後1日、5日、20日の対ベンチマーク超過リターンを確認 / 質的仮説に対応するイベント日と株価反応を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,5,8306.T,三菱UFJ FG,補完後に確認,C,仮説のみ 3件・未加点,PER 未取得、PBR 1.56、ROE 11.34%、売上成長 7.3%、利益成長 27.7%,日銀・金利 / 海外金利・景気 / 株主還元,量的条件は候補として確認する価値がありますが、決算後反応、同業比較、イベント因果のいずれかを補ってから判断します。,財務指標未完了 / 業種別補正未完了,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認 / 同業2社以上のPER/PBR/ROE中央値を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / 不足財務指標が取得できない場合は候補順位を下げる / 同業比較が成立しない場合は割安判断を保留,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,6,6367.T,ダイキン工業,補完後に確認,C,仮説のみ 3件・未加点,PER 24.97、PBR 2.14、ROE 9.1%、売上成長 5.5%、利益成長 3.3%,データセンター冷却 / 地域別空調需要 / 中国・為替,量的条件は候補として確認する価値がありますが、決算後反応、同業比較、イベント因果のいずれかを補ってから判断します。,決算後反応未完了または未到達 / イベント因果未完了,決算後1日、5日、20日の対ベンチマーク超過リターンを確認 / 質的仮説に対応するイベント日と株価反応を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,7,6503.T,三菱電機,補完後に確認,C,仮説のみ 3件・未加点,PER 26.09、PBR 2.76、ROE 9.67%、売上成長 6.8%、利益成長 10.5%,電力・データセンター / FA・設備投資 / 防衛・宇宙,量的条件は候補として確認する価値がありますが、決算後反応、同業比較、イベント因果のいずれかを補ってから判断します。,決算後反応未完了または未到達 / イベント因果未完了,決算後1日、5日、20日の対ベンチマーク超過リターンを確認 / 質的仮説に対応するイベント日と株価反応を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,8,5020.T,ENEOS HD,補完優先,C,仮説のみ 3件・未加点,PER 8.36、PBR 1.03、ROE 8.00%、売上成長 -4.5%、利益成長 339.8%,原油・精製マージン / 中東・海上輸送 / 脱炭素・構造転換,時流との関係はありますが、未完了項目が多いため、補完が進んだ場合に候補として扱います。,決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了,同業2社以上のPER/PBR/ROE中央値を確認 / 決算後1日、5日、20日の対ベンチマーク超過リターンを確認 / 質的仮説に対応するイベント日と株価反応を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / 同業比較が成立しない場合は割安判断を保留 / イベント反応が弱い場合は時流根拠を外す,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,9,6146.T,ディスコ,補完優先,C,仮説のみ 3件・未加点,PER 未取得、PBR 12.32、ROE 25.15%、売上成長 11.1%、利益成長 10.9%,AI半導体・HBM / 半導体設備投資 / 高PER・過熱,時流との関係はありますが、未完了項目が多いため、補完が進んだ場合に候補として扱います。,財務指標未完了 / 業種別補正未完了 / イベント因果未完了,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認 / 同業2社以上のPER/PBR/ROE中央値を確認 / 質的仮説に対応するイベント日と株価反応を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / 不足財務指標が取得できない場合は候補順位を下げる / 同業比較が成立しない場合は割安判断を保留 / イベント反応が弱い場合は時流根拠を外す,テスト候補の確認対象。購入判断ではない
2026/05/26 19:01,10,4385.T,メルカリ,補欠比較,保留,仮説のみ 3件・未加点,PER 未取得、PBR 5.79、ROE 30.52%、売上成長 2.8%、利益成長 59.2%,国内消費 / FinTech・広告 / 規制・競争,点数だけでは候補に見える部分がありますが、未完了項目が多いため、現時点では比較対象として残します。,財務指標未完了 / 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認 / 同業2社以上のPER/PBR/ROE中央値を確認 / 決算後1日、5日、20日の対ベンチマーク超過リターンを確認 / 質的仮説に対応するイベント日と株価反応を確認,6月のCPI、FOMC、日銀後の市場環境を確認 / 不足財務指標が取得できない場合は候補順位を下げる / 同業比較が成立しない場合は割安判断を保留 / イベント反応が弱い場合は時流根拠を外す,テスト候補の確認対象。購入判断ではない
