channel,priority,ticker,name,status,basis,strength,risk,nextCheck,juneUse
総合候補,1,8053.T,住友商事,主候補,既存10社側で、商社・資源・還元・長期株価の総合確認に使う。,指数比較、資源価格、株主還元、景気循環を見やすい。,資源価格・為替・景気循環に左右される。,6月イベント後に資源価格、ドル円、日経/TOPIX、決算後反応を確認。,比較軸
総合候補,2,8316.T,三井住友FG,主候補,金利・銀行・配当/還元の軸として、既存10社側で中心確認。,金利上昇時の利ざや改善、低PER寄り、配当・還元を説明しやすい。,日銀方針、信用コスト、景気悪化、銀行株全体の反応。,日銀会合後の金利、銀行株指数、信用コスト見通しを確認。,比較軸
総合候補,3,6503.T,三菱電機,複合候補,総合、データセンター/電力、フィジカルAI、量子周辺の複合テーマにまたがる。,電力制御、FA、冷却・データセンター周辺、防衛/安全保障にも接続。,テーマが広いため、どの事業が実際に伸びているか分離が必要。,セグメント別売上、受注、営業利益率、電力/FAの寄与を確認。,比較軸
半導体材料・製造装置,1,6857.T,アドバンテスト,条件付き候補,AI半導体テスター需要に直接接続するが、直近急騰と高PERを確認する。,AI/HPC向け検査需要と連動しやすい。,急騰後の反落、高PER、半導体サイクルの悪化。,決算後反応、SOX指数、米金利、受注・ガイダンスを確認。,攻め枠候補
半導体材料・製造装置,2,6146.T,ディスコ,条件付き候補,切断・研削・先端パッケージで構造需要に接続。,AI半導体の高度化・先端パッケージに連動しやすい。,値動きが大きく、過去最大下落も深い。,月次/四半期売上、受注、決算後反応、下落耐性を確認。,攻め枠候補
半導体材料・製造装置,3,8035.T,東京エレクトロン,条件付き候補,前工程装置の中核。AI半導体設備投資の代表候補。ただし半導体チャンネル内では3番手の小口候補として扱う。,半導体設備投資全体に乗りやすい。,半導体サイクル、高PER確認、SOX指数悪化。,SOX指数、米金利、設備投資見通し、決算ガイダンスを確認。,条件付き
データセンター・電力・冷却・電線,1,6501.T,日立製作所,主候補,電力網、変圧器、制御、デジタル基盤の複合テーマ。,AIデータセンター拡大による電力・制御需要に接続。,大型株でテーマ寄与の分離が必要。,電力・送配電・デジタル事業の受注と利益率を確認。,守り寄り成長候補
データセンター・電力・冷却・電線,2,5803.T,フジクラ,条件付き候補,高速ケーブル、光通信、データセンター需要に直接接続。,AIデータセンターの通信・電線テーマとして反応が大きい。,直近急騰、過熱、下落時の振れ幅。,受注、利益率、急騰後の押し目、出来高を確認。,攻め枠候補
データセンター・電力・冷却・電線,3,7011.T,三菱重工業,条件付き候補,電力、冷却、大型インフラ、防衛の複合テーマ。,AIインフラだけでなく、防衛・発電・大型設備に接続。,テーマが広く、直近値動きと事業寄与の分離が必要。,電力・防衛・受注残、直近株価反応を確認。,条件付き
フィジカルAI,1,6762.T,TDK,数値確認済み,既存100社データに接続済み。電源、センサー、電子部品、AIサーバー周辺の複合候補。,既存スコア66、PER/PBR/ROE等の主要指標が接続済み。,電子部品サイクル、スマホ需要、テーマ別売上寄与の分離。,電源・センサー寄与、決算後反応、電子部品サイクルを確認。,フィジカルAI代表候補
フィジカルAI,2,6954.T,ファナック,昇格検討,FA、CNC、産業用ロボット。実需に近いが追加確認が必要。,ロボット需要・工作機械需要に直接接続。,既存スコア52、PER38.82、設備投資サイクル、決算後反応不足。,ロボット受注、工作機械需要、決算後反応、指数差を確認。,補完後候補
フィジカルAI,3,6861.T,キーエンス,昇格検討,センサー、画像処理、FAデータ取得。物理空間のAI入力側。,高収益・高品質企業として説明しやすい。,PER未取得、高PERになりやすい、金利上昇時の下落リスク。,PER、利益率、海外売上、FA投資回復、決算後反応を確認。,補完後候補
量子コンピューター,1,6702.T,富士通,長期探索,国産量子、HPC、AI基盤。既存数値は接続済みだが、量子売上寄与は未分離。,国策・研究開発テーマとして監視価値がある。,1年NISAでは量子単独の株価説明力が弱い。,量子関連の商用サービス、受注、売上寄与を確認。,購入候補化しない
量子コンピューター,2,6701.T,NEC,長期探索,量子、AI、防衛ITの複合テーマ。,安全保障・AI基盤・ITサービスと複合評価できる。,量子単独の寄与が見えにくく、既存スコアも強くない。,量子案件、防衛IT、AI基盤の売上寄与を分ける。,購入候補化しない
