queue_rank,ticker,name,in_portfolio,current_action,financial_status,financial_readiness,final_score,data_completion_pct,ev_confidence_pct,required_items,source_to_check,purchase_effect,max_buy_before_financial_confirmation_yen,next_action
1,8053.T,住友商事,YES,購入候補,pass,通過,68.4,96.1,95.5,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 配当・自社株買い・還元方針,住友商事IR/決算資料,財務理由では止めない。他の市場・口座・価格ゲートで最終確認。,63850,買付前に数値が古くないかだけ再確認。
2,8316.T,三井住友FG,YES,購入候補,pass,通過,67.5,96.1,95.5,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 配当・自社株買い・還元方針,三井住友FG IR/決算短信,財務理由では止めない。他の市場・口座・価格ゲートで最終確認。,58536,買付前に数値が古くないかだけ再確認。
3,8058.T,三菱商事,YES,調査優先,補助,補助データ,59.3,79.2,76.2,公式決算原本照合 / 売上前年比 / 利益前年比,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
4,6501.T,日立製作所,YES,購入候補,pass,通過,59.0,96.1,95.5,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,日立製作所IR/決算説明会資料,財務理由では止めない。他の市場・口座・価格ゲートで最終確認。,52437,買付前に数値が古くないかだけ再確認。
5,6503.T,三菱電機,YES,小口,partial,一部確認,57.5,89.0,87.3,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,三菱電機IR/決算短信・説明資料,初回は小口まで。未確認項目が残る間は追加買い・増額をしない。,24272,PER/PBR/ROE、営業利益率、会社予想、受注・セグメント寄与を公式資料で埋める。
6,8031.T,三井物産,YES,調査優先,補助,補助データ,56.2,74.7,70.6,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
7,6762.T,TDK,YES,小口,partial,一部確認,56.0,89.0,87.3,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,TDK IR/決算短信,初回は小口まで。未確認項目が残る間は追加買い・増額をしない。,27566,PER/PBR/ROE、営業利益率、会社予想、受注・セグメント寄与を公式資料で埋める。
8,8411.T,みずほFG,YES,調査優先,補助,補助データ,55.4,71.7,67.7,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
9,8750.T,第一生命HD,YES,調査優先,補助,補助データ,52.7,71.7,67.7,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
10,8306.T,三菱UFJ FG,NO,監視,補助/注意,補助データ,52.5,79.2,76.2,公式決算原本照合 / PER,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
