updated_at,priority_rank,ticker,company,sector,category,nisa_score,data_confidence,completion_score,gap_resolvability_score,priority_score,test_lane,purchase_allowed,purchase_reason,financial_ready,reaction_ready,sector_adjustment_ready,plus1_ready,event_causality_ready,gap_count,remaining_gaps,per,pbr,roe_pct,revenue_yoy_pct,profit_yoy_pct,earnings_reaction_score,next_48h_task
2026/05/26 16:10,7,6762.T,TDK,電子部品,残す,60.7,100,95,80,87,一次テスト候補,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,済,済,済,済,一部,1,イベント後リターン/因果,26.7,2.75,9.81,13.6,21.5,62.9,イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。
2026/05/26 16:10,2,2802.T,味の素,食品,残す,67.8,95,85,68,82,補完後テスト候補,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,済,一部,一部,済,済,2,決算後20営業日反応 / 業種別補正,43.73,6.81,17.75,3.5,75,65.8,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。
2026/05/26 16:10,9,8766.T,東京海上HD,保険,予備,65.4,100,85,62,81,補完後テスト候補,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,済,一部,済,済,一部,2,決算後20営業日反応 / イベント後リターン/因果,17.61,2.7,18.68,5.1,-7.6,,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。
2026/05/26 16:10,3,8316.T,三井住友FG,銀行,残す,65.1,95,85,62,80,補完後テスト候補,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,済,一部,済,済,一部,2,決算後20営業日反応 / イベント後リターン/因果,13.61,1.47,10.38,6.1,34,55.5,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。
2026/05/26 16:10,5,8306.T,三菱UFJ FG,銀行,残す,62.1,92,83,70,79,補完後テスト候補,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,一部,済,一部,済,済,2,財務指標 / 業種別補正,,1.56,11.34,7.3,27.7,41.3,PER/PBR/ROE、売上成長、利益成長の欠けを公式決算または既存CSVで補完。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。
2026/05/26 16:10,10,6367.T,ダイキン工業,空調,予備,52.6,100,85,62,79,補完後テスト候補,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,済,一部,済,済,一部,2,決算後20営業日反応 / イベント後リターン/因果,24.97,2.14,9.1,5.5,3.3,,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。
2026/05/26 16:10,8,6503.T,三菱電機,総合電機,残す,55.6,95,85,62,78,補完後テスト候補,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,済,一部,済,済,一部,2,決算後20営業日反応 / イベント後リターン/因果,26.09,2.76,9.67,6.8,10.5,55.1,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。
2026/05/26 16:10,4,5020.T,ENEOS HD,エネルギー,残す,64.3,95,80,48,76,補完優先,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,済,一部,一部,済,一部,3,決算後20営業日反応 / 業種別補正 / イベント後リターン/因果,8.36,1.03,8.00,-4.5,339.8,57,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。
2026/05/26 16:10,6,6146.T,ディスコ,半導体装置,残す,60.9,92,78,50,74,補完優先,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,一部,済,一部,済,一部,3,財務指標 / 業種別補正 / イベント後リターン/因果,,12.32,25.15,11.1,10.9,68.7,PER/PBR/ROE、売上成長、利益成長の欠けを公式決算または既存CSVで補完。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。
2026/05/26 16:10,1,4385.T,メルカリ,ネット,残す,79.8,87,68,45,72,補欠・保留,不可,6月イベント前のため購入判断には使わない。候補抽出と不足補完に限定。,一部,一部,一部,済,一部,4,財務指標 / 決算後20営業日反応 / 業種別補正 / イベント後リターン/因果,,5.79,30.52,2.8,59.2,56.8,PER/PBR/ROE、売上成長、利益成長の欠けを公式決算または既存CSVで補完。20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。
