section,condition,decision,action
rule,市場停止,米CPI再加速、米10年金利急騰、NASDAQ/SOX急落のいずれか,全体購入延期,6月第1回購入判定へ進まない
rule,日銀停止,急な円高、日経/TOPIX下落、銀行株悪化のいずれか,輸出・高PER・金融比率を下げる,悪化が大きい場合は全体延期
rule,FOMC停止,米金利急騰、DXY上昇、NASDAQ/SOX急落のいずれか,個別株比率を下げる,半導体・AI関連は特に保留
rule,銘柄停止,20営業日反応が大幅マイナス、または決算後に指数へ大きく劣後,当該銘柄を保留または低比率化,他銘柄で代替候補を確認
rule,未確認停止,PER/PBR/ROE、決算成長率、反応値、公式資料確認の重要欄が未確認,当該銘柄を購入候補にしない,確認後に再判定
rule,ベンチマーク停止,S&P500/TOPIXを+1%以上上回る説明が成立しない,個別株比率を増やさない,指数連動・現金比率を優先
rule,分割実行,市場ゲートが良好または中立、候補銘柄の重要確認が完了、指数比較も説明可能,少額から分割検討,一括ではなく段階投入

section,ticker,company,current_decision,reason
candidate,8053.T,住友商事,保留,20営業日反応は到達済みだが弱い。商社全体・資源価格・為替を再確認。
candidate,8002.T,丸紅,低優先,20営業日反応が弱く、利益成長率も弱い。現時点では中心候補にしない。
candidate,8058.T,三菱商事,保留,20営業日反応が弱い。商社枠としては比率を抑える。
candidate,8316.T,三井住友FG,再計算待ち,6/10に20営業日反応、6/15-16に日銀結果を確認。
candidate,8306.T,三菱UFJ FG,再計算待ち,6/12に20営業日反応、日銀後の銀行株反応を確認。
candidate,1605.T,INPEX,再計算待ち,6/10に20営業日反応。油価・為替・資源テーマを確認。
candidate,6503.T,三菱電機,保留,20営業日反応は弱め。受注・為替・テーマ補強が必要。
candidate,8031.T,三井物産,低優先,20営業日反応が弱い。商社枠内で慎重扱い。
candidate,8411.T,みずほFG,再計算待ち,6/12に20営業日反応。銀行テーマが続くか確認。
candidate,8725.T,MS&AD,再計算待ち,6/17に20営業日反応。保険・金利テーマを確認。
