priority,ticker,name,current_status,promotion_group,normal_a_countable,blocker,evidence_to_add,action,client_explanation
1,8316.T,三井住友FG,通常A標準,通常A標準（採用可能）,YES,不足なし,,注文前の当日価格、NISA口座区分、本人操作、1銘柄上限だけ確認する。,財務・イベント後反応・質的根拠・リスク・期待値・過熱条件をすべて通過しているため、通常Aに数える。
2,6762.T,TDK,通常A標準,通常A標準（採用可能）,YES,不足なし,,注文前の当日価格、NISA口座区分、本人操作、1銘柄上限だけ確認する。,財務・イベント後反応・質的根拠・リスク・期待値・過熱条件をすべて通過しているため、通常Aに数える。
3,8750.T,第一生命HD,通常A標準,通常A標準（採用可能）,YES,不足なし,,注文前の当日価格、NISA口座区分、本人操作、1銘柄上限だけ確認する。,財務・イベント後反応・質的根拠・リスク・期待値・過熱条件をすべて通過しているため、通常Aに数える。
4,6971.T,京セラ,通常A標準,通常A標準（採用可能）,YES,不足なし,,注文前の当日価格、NISA口座区分、本人操作、1銘柄上限だけ確認する。,財務・イベント後反応・質的根拠・リスク・期待値・過熱条件をすべて通過しているため、通常Aに数える。
5,6954.T,ファナック,通常A標準,通常A標準（採用可能）,YES,不足なし,,注文前の当日価格、NISA口座区分、本人操作、1銘柄上限だけ確認する。,財務・イベント後反応・質的根拠・リスク・期待値・過熱条件をすべて通過しているため、通常Aに数える。
6,8411.T,みずほFG,通常A未達（イベント不足）,昇格候補（イベント再確認）,PENDING,決算後20営業日反応が日経平均比+1.91%で、通常A基準の+2.00%に0.09pt不足。,イベント反応:未達 / 信頼度:不足,銀行セクター指数、6月イベント後の反応、次回開示後の指数差を再取得する。+2%以上なら再判定。,ほぼ届いているが、基準未満を通常Aに数えると説明責任が崩れるため、現時点では保留。
7,6503.T,三菱電機,通常A未達（イベント不足）,昇格候補（20営業日待ち）,PENDING,訂正開示後の20営業日反応がまだ未到達。,イベント反応:未到達,20営業日到達日に株価と日経平均を再取得し、日経平均比+2%以上なら通常Aへ再判定する。,財務・質的根拠・リスク・期待値は通過しているが、イベント後反応の確認日数が足りないため保留。
8,4502.T,武田薬品,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,20営業日反応が未到達,財務:不足 / イベント反応:未到達 / 質的根拠:不足 / リスク:防御枠 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
9,7013.T,IHI,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
10,7735.T,SCREEN HD,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
