作成,質問,回答
2026/05/27 13:22,これは何をするシステムか,NISA 1年保有テストの候補を、実データと確認条件で絞り込む判断補助システムです。購入対象を自動確定するものではなく、候補の根拠、注意点、6月に確認する条件を整理します。
2026/05/27 13:22,なぜ今すぐ購入確定ではないのか,6月にCPI、日銀、FOMCがあり、金利、為替、日本株全体の方向が変わる可能性があります。現時点では候補を作り、イベント後の数値で再判定する方針です。
2026/05/27 13:22,10社はどのように選んだのか,株価、業績、PER/PBR/ROE、決算後反応、下落率、データ充足、時流テーマとの接続を確認し、同じ基準で比較できる銘柄を10社に整理しました。
2026/05/27 13:22,質的テーマは点数に足しているのか,直接加点していません。AI、半導体、金利、商社、食品などのテーマは、確認すべき数字と警戒条件を決めるために使います。定量条件が悪い銘柄をテーマだけで残す扱いにはしません。
2026/05/27 13:22,S&P500投信や日経平均/TOPIXを持つだけの場合と何が違うのか,目標は、ただ指数や投信を保有する場合より1年で+1%上回る根拠を説明できる候補だけを残すことです。根拠が弱ければ、個別株比率を下げる判断につなげます。
2026/05/27 13:22,中心確認と監視の違いは何か,中心確認は、現時点の実データと注意点を見て6月再判定に優先して残す候補です。監視は、過熱、反応不足、PER未取得、下落率などの理由で、条件改善まで購入候補にしない銘柄です。
2026/05/27 13:22,現時点で最も説明しやすい候補はどれか,現時点では三井住友FG、味の素、TDK、住友商事を中心確認として整理しています。ただし、各社とも6月の市場条件と個別条件を通してから扱いを決めます。
2026/05/27 13:22,データ不足は残っているか,残っています。三菱UFJ FG、ディスコ、ソフトバンクGなどはPER未取得があり、一部銘柄は20営業日反応が未到達です。未取得値は点数に混ぜず、条件付きまたは監視として扱います。
2026/05/27 13:22,6月に何を見れば判定できるのか,米CPI、FOMC後の米10年金利、日銀後の為替と銀行株反応、日経平均/TOPIXの75日線、各銘柄の決算後20営業日反応を確認します。
2026/05/27 13:22,外す条件は何か,下方修正、利益成長の鈍化、決算後の指数劣後、75日線割れ、金利急騰、円高ショック、過熱後の急落などです。重大停止が重なる場合は、点数が残っていても外す方向で扱います。
