ticker,name,role,universe_status,reaction_score,excess_20d_pct,risk_tier,risk_cap_pct,current_handling,check_point
8053.T,住友商事,中心候補,再選定候補,43.7,-14.91%,中,18.75%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 20営業日で日経平均に大きく劣後
8316.T,三井住友FG,中心候補,再選定候補,57.1,4.97%,中,18.75%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動
6501.T,日立製作所,中心候補,再選定候補,29.1,-13.12%,中高,6.25%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 決算後反応が弱い / 20営業日で日経平均に大きく劣後
6503.T,三菱電機,条件付き候補,再選定候補,43.9,-11.55%,中,6.25%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 20営業日で日経平均に大きく劣後
6857.T,アドバンテスト,条件付き候補,監視,20.4,-26.49%,中高,6.25%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では監視扱い / 決算後反応が弱い / 20営業日で日経平均に大きく劣後
8035.T,東京エレクトロン,条件付き候補,監視,68.2,8.43%,高,3%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では監視扱い
7011.T,三菱重工業,条件付き候補,除外,34.5,-19.87%,高,3%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では除外: 直近1年でS&P500に劣後 / 直近60日が弱い / 20営業日で日経平均に大きく劣後
6762.T,TDK,条件付き候補,再選定候補,91.6,41.6%,中高,6.25%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動
6146.T,ディスコ,条件付き候補,除外,32.3,-19.66%,高,3%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では除外: 直近60日が弱い / 5年最大下落率が大きい / 20営業日で日経平均に大きく劣後
5803.T,フジクラ,条件付き候補,除外,0,-37.32%,高,3%,購入不可,未入力あり: 日銀会合、FOMC、最終購入前確認 / 財務・公式決算の未確認あり / 銘柄別リスク・下値上値ルールは補正中 / NISA・本人操作・口座区分未連動 / 100社再選定では除外: 直近1年の下落率が大きい / 急騰後の反動確認が必要 / 決算後反応が弱い / 20営業日で日経平均に大きく劣後
