updated_at,ticker,company,integrated_grade,matched_theme_count,themes,highest_theme_gate,next_action,treatment
2026/05/27 07:57,6762.T,TDK,A,3,HBM・先端パッケージ / AI半導体投資 / 円安,優先確認,20営業日反応が指数超過で継続し、公式数字で質的仮説を確認できれば主候補継続。,6月イベント前の実行判断はしない。市場条件と20営業日反応を確認してから扱いを決める。
2026/05/27 07:57,8316.T,三井住友FG,B,2,金利上昇 / 自社株買い・増配・資本効率,条件付き確認,公式数字、20営業日反応、指数比較の不足部分を確認してから主候補化を判断。,条件付き確認。現段階で主候補化せず、追加データ確認後に再判定する。
2026/05/27 07:57,2802.T,味の素,B,3,食品値上げ耐性 / 円高 / 原油・ナフサ下落,条件付き確認,公式数字、20営業日反応、指数比較の不足部分を確認してから主候補化を判断。,条件付き確認。現段階で主候補化せず、追加データ確認後に再判定する。
2026/05/27 07:57,5020.T,ENEOS HD,C,2,原油・中東リスク / 原油・ナフサ下落,仮説検算,量的評価または質的確認が弱いため、補完後または比較対象に留める。,統合Cまたは保留。現時点では購入検討の中心に置かず、補完・検算・比較対象として扱う。
2026/05/27 07:57,6367.T,ダイキン工業,C,2,データセンター冷却 / 円安,仮説検算,量的評価または質的確認が弱いため、補完後または比較対象に留める。,統合Cまたは保留。現時点では購入検討の中心に置かず、補完・検算・比較対象として扱う。
2026/05/27 07:57,6503.T,三菱電機,C,4,データセンター電力不足 / データセンター冷却 / 防衛・安全保障 / 人手不足・省人化,仮説検算,量的評価または質的確認が弱いため、補完後または比較対象に留める。,統合Cまたは保留。現時点では購入検討の中心に置かず、補完・検算・比較対象として扱う。
2026/05/27 07:57,8766.T,東京海上HD,B,2,金利上昇 / 自社株買い・増配・資本効率,条件付き確認,公式数字、20営業日反応、指数比較の不足部分を確認してから主候補化を判断。,条件付き確認。現段階で主候補化せず、追加データ確認後に再判定する。
2026/05/27 07:57,4385.T,メルカリ,保留,2,人手不足・省人化 / 国内消費・プラットフォーム,補完待ち,不足データを補完して再判定。,統合Cまたは保留。現時点では購入検討の中心に置かず、補完・検算・比較対象として扱う。
2026/05/27 07:57,8306.T,三菱UFJ FG,C,2,金利上昇 / 自社株買い・増配・資本効率,仮説検算,量的評価または質的確認が弱いため、補完後または比較対象に留める。,統合Cまたは保留。現時点では購入検討の中心に置かず、補完・検算・比較対象として扱う。
2026/05/27 07:57,6146.T,ディスコ,C,3,AI半導体投資 / 半導体工程の寡占・高シェア / HBM・先端パッケージ,仮説検算,弱い20営業日反応の理由が説明できなければ、6月テスト候補へ戻さない。,統合Cまたは保留。現時点では購入検討の中心に置かず、補完・検算・比較対象として扱う。
