ticker,name,role,planned_weight_pct,buy_status,account_id,buy_date,buy_amount_yen,buy_price,quantity,benchmark_primary,benchmark_secondary,benchmark_start_value,buy_reason,no_buy_condition,downside_rule,upside_rule,review_status
8053.T,住友商事,中心候補,18.75,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,記録待ち
8316.T,三井住友FG,中心候補,18.75,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,記録待ち
6501.T,日立製作所,中心候補,18.75,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,記録待ち
6503.T,三菱電機,条件付き候補,6.25,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,記録待ち
6857.T,アドバンテスト,条件付き候補,6.25,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,記録待ち
8035.T,東京エレクトロン,条件付き候補,6.25,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,買値から-5%で追加停止、-10%で保有理由を再点検、-15%で縮小候補,+15%以上かつ出来高急増なら、目標比率超過分の利確を確認,記録待ち
7011.T,三菱重工業,条件付き候補,6.25,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,初回買付不可
6762.T,TDK,条件付き候補,6.25,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,記録待ち
6146.T,ディスコ,条件付き候補,6.25,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,初回買付不可
5803.T,フジクラ,条件付き候補,6.25,未開始,未入力,未入力,0円,未入力,未入力,S&P500,TOPIX,未入力,未入力,未入力,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,初回買付不可
