review_point,review_date,ticker,name,actual_buy_price_yen,review_price_yen,actual_return_formula,benchmark_name,benchmark_start_level,benchmark_review_level,benchmark_return_formula,excess_return_formula,input_required,decision_output,memo
D+1営業日,2026-06-22,PORTFOLIO,全体,,,各銘柄の実績%を購入金額で加重平均,TOPIXまたはS&P500,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,実績%、指数%、指数差、ニュース要因,継続 / 追加停止 / 減額 / 再審査,全体の勝ち負けを指数比で確認する。
D+1営業日,2026-06-22,8053.T,住友商事,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 58626 円。実績未入力なら次回買付へ進めない。
D+1営業日,2026-06-22,8316.T,三井住友FG,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 60408 円。実績未入力なら次回買付へ進めない。
D+1営業日,2026-06-22,8058.T,三菱商事,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 31990 円。実績未入力なら次回買付へ進めない。
D+1営業日,2026-06-22,6501.T,日立製作所,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 47450 円。実績未入力なら次回買付へ進めない。
D+1営業日,2026-06-22,6503.T,三菱電機,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 24320 円。実績未入力なら次回買付へ進めない。
D+1営業日,2026-06-22,8031.T,三井物産,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 28314 円。実績未入力なら次回買付へ進めない。
D+1営業日,2026-06-22,8411.T,みずほFG,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 24747 円。実績未入力なら次回買付へ進めない。
D+1営業日,2026-06-22,6762.T,TDK,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 27251 円。実績未入力なら次回買付へ進めない。
D+1営業日,2026-06-22,8750.T,第一生命HD,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 21846 円。実績未入力なら次回買付へ進めない。
D+5営業日,2026-06-26,PORTFOLIO,全体,,,各銘柄の実績%を購入金額で加重平均,TOPIXまたはS&P500,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,実績%、指数%、指数差、ニュース要因,継続 / 追加停止 / 減額 / 再審査,全体の勝ち負けを指数比で確認する。
D+5営業日,2026-06-26,8053.T,住友商事,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 58626 円。実績未入力なら次回買付へ進めない。
D+5営業日,2026-06-26,8316.T,三井住友FG,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 60408 円。実績未入力なら次回買付へ進めない。
D+5営業日,2026-06-26,8058.T,三菱商事,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 31990 円。実績未入力なら次回買付へ進めない。
D+5営業日,2026-06-26,6501.T,日立製作所,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 47450 円。実績未入力なら次回買付へ進めない。
D+5営業日,2026-06-26,6503.T,三菱電機,,,(review_price_yen / actual_buy_price_yen - 1) * 100,TOPIXまたは同業指数,,,(benchmark_review_level / benchmark_start_level - 1) * 100,actual_return_pct - benchmark_return_pct,約定価格、確認日終値、比較指数の開始値と確認日値,継続 / 追加停止 / 減額 / 再審査,予定金額 24320 円。実績未入力なら次回買付へ進めない。
