ticker,銘柄,業種,目標比率,目標金額,理由
8316.T,三井住友FG,銀行,20%,"400,000円",前面候補。金利・ROE・与信費用を確認しながら中心に置く。
8766.T,東京海上HD,保険,14%,"280,000円",比較候補。運用利回りと災害損害の確認が必要。
8058.T,三菱商事,商社,11%,"220,000円",資源と還元。非資源利益で説明できる場合に残す。
8306.T,三菱UFJ FG,銀行,11%,"220,000円",三井住友FGとの比較枠。利ざやと信用コスト確認。
8031.T,三井物産,商社,9%,"180,000円",商社比較枠。資源と非資源のバランス確認。
8001.T,伊藤忠商事,商社,7%,"140,000円",非資源安定枠。商社内比較で残す。
6501.T,日立製作所,総合電機・IT,7%,"140,000円",AI・電力インフラ仮説。部門売上・受注確認。
7011.T,三菱重工,重工・防衛,5%,"100,000円",保留寄り。防衛受注と利益率確認後に限定投入。
5802.T,住友電工,電線・通信,3%,"60,000円",過熱確認枠。業績が株価に追いつく場合のみ少額。
5801.T,古河電工,電線・通信,3%,"60,000円",過熱確認枠。上値追い禁止、仮説検算後に限定。
CASH,現金待機,予備,10%,"200,000円",急落・入替・イベント悪化対応。
